Format Version,1.23,Take Name,MS010MPT006,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-03-25 01.02.42.131 PM,Total Frames in Take,6741,Total Exported Frames,6741,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Concorde_S,Concorde_S,Concorde_S,Concorde_S,Concorde_S,Concorde_S
,ID,"FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.083883,0.014124,-0.099365,-0.019579,0.095145,0.001321
1,0.008333,0.081106,0.018850,-0.059214,-0.019544,0.095101,0.001315
2,0.016667,0.079462,0.018477,-0.063305,-0.019538,0.095100,0.001312
3,0.025000,0.079029,0.020142,-0.055836,-0.019541,0.095103,0.001314
4,0.033333,0.082881,0.021339,-0.062511,-0.019552,0.095107,0.001320
5,0.041667,0.081057,0.019410,-0.059200,-0.019553,0.095098,0.001325
6,0.050000,0.083192,0.018981,-0.054148,-0.019547,0.095101,0.001313
7,0.058333,,,,,,
8,0.066667,0.078462,0.013890,-0.065924,-0.019549,0.095109,0.001326
9,0.075000,0.080991,0.018863,-0.091065,-0.019583,0.095150,0.001315
10,0.083333,0.081233,0.018288,-0.062589,-0.019538,0.095103,0.001320
11,0.091667,0.080906,0.023845,-0.062249,-0.019540,0.095103,0.001322
12,0.100000,0.085961,0.017954,-0.099325,-0.019562,0.095149,0.001318
13,0.108333,0.081517,0.019461,-0.059574,-0.019541,0.095111,0.001328
14,0.116667,0.082581,0.022044,-0.058842,-0.019538,0.095106,0.001338
15,0.125000,0.079793,0.017681,-0.058259,-0.019546,0.095110,0.001323
16,0.133333,0.074260,0.017931,-0.060757,-0.019538,0.095108,0.001328
17,0.141667,0.087833,0.009252,-0.089720,-0.019572,0.095160,0.001317
18,0.150000,0.081067,0.016377,-0.060914,-0.019556,0.095103,0.001308
19,0.158333,0.087885,0.018716,-0.090411,-0.019572,0.095147,0.001311
20,0.166667,0.085515,0.013715,-0.088979,-0.019572,0.095150,0.001318
21,0.175000,0.070727,0.022731,-0.058447,-0.019531,0.095106,0.001333
22,0.183333,0.078796,0.018444,-0.056985,-0.019540,0.095113,0.001331
23,0.191667,0.087476,0.021460,-0.094308,-0.019562,0.095152,0.001329
24,0.200000,0.078360,0.014880,-0.090865,-0.019562,0.095152,0.001335
25,0.208333,0.075189,0.016808,-0.058681,-0.019534,0.095110,0.001336
26,0.216667,0.078316,0.014949,-0.053319,-0.019554,0.095102,0.001331
27,0.225000,0.082478,0.017353,-0.092465,-0.019570,0.095148,0.001326
28,0.233333,0.085092,0.022250,-0.057654,-0.019539,0.095113,0.001331
29,0.241667,0.071443,0.022236,-0.059429,-0.019540,0.095112,0.001324
30,0.250000,0.082241,0.015539,-0.091551,-0.019579,0.095158,0.001322
31,0.258333,0.074109,0.019768,-0.063578,-0.019524,0.095102,0.001319
32,0.266667,0.082459,0.021055,-0.095011,-0.019569,0.095153,0.001321
33,0.275000,0.081107,0.021682,-0.069423,-0.019528,0.095107,0.001327
34,0.283333,0.077743,0.018711,-0.054845,-0.019544,0.095110,0.001326
35,0.291667,0.077396,0.018948,-0.058904,-0.019545,0.095109,0.001330
36,0.300000,0.076256,0.015635,-0.095765,-0.019565,0.095153,0.001315
37,0.308333,0.083272,0.012600,-0.095464,-0.019552,0.095144,0.001315
38,0.316667,0.081165,0.019321,-0.058566,-0.019539,0.095104,0.001326
39,0.325000,0.074995,0.023846,-0.061908,-0.019549,0.095107,0.001320
40,0.333333,0.083869,0.021400,-0.091970,-0.019575,0.095153,0.001314
41,0.341667,0.085270,0.018071,-0.094302,-0.019572,0.095157,0.001321
42,0.350000,0.081557,0.015175,-0.092926,-0.019566,0.095151,0.001323
43,0.358333,0.079499,0.017474,-0.089915,-0.019571,0.095156,0.001327
44,0.366667,0.079896,0.015284,-0.091784,-0.019570,0.095148,0.001316
