Format Version,1.23,Take Name,MS010MPT004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-03-25 12.58.56.516 PM,Total Frames in Take,7892,Total Exported Frames,7892,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Concorde_S,Concorde_S,Concorde_S,Concorde_S,Concorde_S,Concorde_S
,ID,"FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
71,0.591667,0.072462,0.023296,-0.021697,-0.019568,0.095009,0.001274
72,0.600000,0.069264,0.021746,-0.022129,-0.019569,0.095004,0.001280
73,0.608333,0.069744,0.025092,-0.014856,-0.019564,0.095015,0.001268
74,0.616667,0.070992,0.018917,-0.017741,-0.019559,0.095006,0.001268
75,0.625000,0.065451,0.018995,-0.014537,-0.019559,0.095013,0.001268
76,0.633333,0.065995,0.028451,-0.011160,-0.019559,0.095016,0.001257
77,0.641667,0.066261,0.023563,-0.020440,-0.019544,0.095003,0.001253
78,0.650000,0.074319,0.022782,-0.015965,-0.019531,0.094999,0.001219
79,0.658333,0.066336,0.026609,-0.018938,-0.019535,0.095007,0.001237
80,0.666667,0.072993,0.026529,-0.017536,-0.019539,0.095015,0.001244
81,0.675000,0.067616,0.023254,-0.016874,-0.019552,0.095012,0.001245
82,0.683333,0.067144,0.024356,-0.017577,-0.019541,0.095012,0.001244
83,0.691667,0.071883,0.024400,-0.016192,-0.019543,0.095001,0.001246
84,0.700000,0.070548,0.023396,-0.023678,-0.019549,0.095002,0.001241
85,0.708333,0.067577,0.019458,-0.020746,-0.019546,0.095001,0.001248
86,0.716667,0.062638,0.026233,-0.018160,-0.019549,0.094992,0.001251
87,0.725000,0.067370,0.030565,-0.019314,-0.019547,0.095014,0.001234
88,0.733333,0.080186,0.029767,-0.012460,-0.019546,0.095002,0.001238
89,0.741667,0.074448,0.016492,-0.020220,-0.019548,0.094995,0.001250
90,0.750000,0.068368,0.020967,-0.019046,-0.019556,0.094994,0.001242
91,0.758333,0.070446,0.018737,-0.022208,-0.019542,0.095001,0.001253
92,0.766667,0.068678,0.015332,-0.017872,-0.019541,0.095003,0.001240
93,0.775000,0.066544,0.023263,-0.016169,-0.019549,0.095015,0.001241
94,0.783333,0.071674,0.019861,-0.022331,-0.019554,0.095001,0.001248
95,0.791667,0.064070,0.021634,-0.015297,-0.019549,0.095004,0.001246
96,0.800000,0.071805,0.020892,-0.011628,-0.019547,0.095009,0.001248
97,0.808333,0.074127,0.021119,-0.020606,-0.019553,0.095020,0.001240
98,0.816667,0.074524,0.026569,-0.020434,-0.019541,0.095019,0.001245
99,0.825000,0.061140,0.022448,-0.018993,-0.019546,0.095010,0.001238
100,0.833333,0.070235,0.024177,-0.015836,-0.019540,0.095021,0.001245
101,0.841667,0.071037,0.019699,-0.018430,-0.019551,0.095016,0.001243
102,0.850000,0.072344,0.025668,-0.015642,-0.019546,0.095026,0.001235
103,0.858333,0.072328,0.030451,-0.013807,-0.019551,0.095030,0.001237
104,0.866667,0.068883,0.026085,-0.014425,-0.019542,0.095038,0.001237
105,0.875000,0.069402,0.025412,-0.017440,-0.019538,0.095022,0.001231
106,0.883333,0.072212,0.020687,-0.015496,-0.019548,0.095025,0.001243
107,0.891667,0.072598,0.020826,-0.019344,-0.019553,0.095026,0.001240
108,0.900000,0.070790,0.022641,-0.012749,-0.019536,0.095029,0.001243
109,0.908333,0.066456,0.023439,-0.017578,-0.019547,0.095021,0.001247
110,0.916667,0.073394,0.024952,-0.014815,-0.019558,0.095019,0.001255
111,0.925000,0.066870,0.019997,-0.014436,-0.019551,0.095013,0.001263
112,0.933333,0.067152,0.025703,-0.016678,-0.019545,0.095017,0.001251
113,0.941667,0.071357,0.026236,-0.016700,-0.019556,0.095018,0.001251
114,0.950000,0.071367,0.024697,-0.019789,-0.019550,0.095009,0.001261
115,0.958333,0.068765,0.024007,-0.017950,-0.019551,0.095015,0.001246
116,0.966667,0.071591,0.020339,-0.017586,-0.019555,0.095017,0.001253
117,0.975000,0.064823,0.026179,-0.014365,-0.019550,0.095020,0.001252
118,0.983333,0.072409,0.030016,-0.015712,-0.019556,0.095012,0.001250
119,0.991667,0.066498,0.027397,-0.018184,-0.019552,0.095019,0.001254
120,1.000000,0.066705,0.025209,-0.013800,-0.019547,0.095028,0.001255
121,1.008333,0.062809,0.018087,-0.013295,-0.019551,0.095017,0.001249
122,1.016667,0.064013,0.024524,-0.020360,-0.019546,0.095015,0.001255
123,1.025000,0.069158,0.021273,-0.020853,-0.019550,0.095020,0.001256
124,1.033333,0.070899,0.025978,-0.015839,-0.019547,0.095018,0.001250
125,1.041667,0.066898,0.025885,-0.019043,-0.019551,0.095010,0.001251
126,1.050000,0.061374,0.023560,-0.020291,-0.019552,0.095012,0.001251
127,1.058333,0.061418,0.022325,-0.024025,-0.019547,0.095013,0.001254
128,1.066667,0.066769,0.027173,-0.011113,-0.019556,0.095016,0.001247
129,1.075000,0.067852,0.028006,-0.014923,-0.019542,0.095004,0.001251
130,1.083333,0.061764,0.025423,-0.017948,-0.019557,0.094997,0.001240
131,1.091667,0.072022,0.020237,-0.017612,-0.019541,0.095002,0.001250
132,1.100000,0.067815,0.027137,-0.009078,-0.019546,0.095005,0.001243
133,1.108333,0.058205,0.021320,-0.015089,-0.019554,0.095007,0.001246
134,1.116667,0.068284,0.023515,-0.017411,-0.019543,0.095007,0.001246
135,1.125000,0.066343,0.025635,-0.015455,-0.019551,0.095000,0.001246
136,1.133333,0.066333,0.025498,-0.018524,-0.019549,0.095004,0.001245
137,1.141667,0.063813,0.023849,-0.019189,-0.019545,0.095004,0.001248
138,1.150000,0.067537,0.022960,-0.020166,-0.019549,0.094999,0.001251
139,1.158333,0.066136,0.023613,-0.021116,-0.019550,0.095001,0.001239
140,1.166667,0.068433,0.029399,-0.015436,-0.019542,0.095005,0.001241
141,1.175000,0.066620,0.023474,-0.021587,-0.019554,0.095010,0.001246
142,1.183333,0.066642,0.018090,-0.017920,-0.019554,0.095004,0.001253
143,1.191667,0.065591,0.019629,-0.013151,-0.019543,0.095006,0.001247
144,1.200000,0.070773,0.023766,-0.013700,-0.019552,0.095009,0.001256
145,1.208333,0.065865,0.023931,-0.018386,-0.019552,0.095011,0.001266
146,1.216667,0.075251,0.022822,-0.019198,-0.019554,0.095011,0.001270
147,1.225000,0.064514,0.025435,-0.014291,-0.019558,0.095006,0.001265
148,1.233333,0.069686,0.019926,-0.019651,-0.019552,0.095017,0.001251
149,1.241667,0.068307,0.023191,-0.019972,-0.019552,0.095024,0.001252
150,1.250000,0.064049,0.026658,-0.014327,-0.019555,0.095018,0.001251
151,1.258333,0.065475,0.022854,-0.026353,-0.019546,0.095001,0.001252
152,1.266667,0.067120,0.027237,-0.017986,-0.019563,0.094993,0.001254
153,1.275000,0.072220,0.029793,-0.022397,-0.019555,0.094992,0.001261
154,1.283333,0.069157,0.023403,-0.019228,-0.019555,0.095000,0.001256
155,1.291667,0.069578,0.024150,-0.014415,-0.019550,0.094997,0.001249
156,1.300000,0.066310,0.026767,-0.017375,-0.019550,0.095007,0.001257
157,1.308333,0.056393,0.026856,-0.017856,-0.019545,0.095004,0.001253
158,1.316667,0.062992,0.022376,-0.009608,-0.019551,0.095006,0.001257
159,1.325000,0.064165,0.023640,-0.016369,-0.019542,0.095022,0.001250
160,1.333333,0.066510,0.023492,-0.015413,-0.019536,0.095007,0.001248
161,1.341667,0.071782,0.023258,-0.021769,-0.019537,0.095009,0.001249
162,1.350000,0.066640,0.019954,-0.019517,-0.019539,0.095004,0.001251
163,1.358333,0.069059,0.023537,-0.021614,-0.019551,0.095021,0.001254
164,1.366667,0.064374,0.021454,-0.014275,-0.019553,0.095018,0.001251
165,1.375000,0.069268,0.024645,-0.018859,-0.019551,0.095010,0.001255
166,1.383333,0.070558,0.015818,-0.020419,-0.019550,0.095008,0.001260
167,1.391667,0.067890,0.022412,-0.016913,-0.019555,0.095010,0.001255
168,1.400000,0.075768,0.020042,-0.019486,-0.019540,0.095008,0.001262
169,1.408333,0.073298,0.025112,-0.017609,-0.019558,0.095015,0.001260
170,1.416667,0.077663,0.019408,-0.019187,-0.019554,0.095015,0.001256
171,1.425000,0.069421,0.025413,-0.019854,-0.019550,0.095019,0.001255
172,1.433333,0.070719,0.023539,-0.015731,-0.019560,0.095015,0.001251
173,1.441667,0.072989,0.017821,-0.015241,-0.019554,0.095011,0.001260
174,1.450000,0.072582,0.014431,-0.020418,-0.019557,0.095007,0.001260
175,1.458333,0.074189,0.021379,-0.022320,-0.019551,0.095008,0.001249
176,1.466667,0.068354,0.018499,-0.018093,-0.019556,0.095015,0.001247
177,1.475000,0.068163,0.017463,-0.018735,-0.019555,0.095009,0.001255
178,1.483333,0.073557,0.024123,-0.018173,-0.019556,0.095009,0.001254
179,1.491667,0.067290,0.023733,-0.012603,-0.019559,0.095009,0.001254
180,1.500000,0.069574,0.021610,-0.014592,-0.019550,0.095006,0.001244
181,1.508333,0.071007,0.022399,-0.013960,-0.019556,0.095010,0.001255
182,1.516667,0.069148,0.022497,-0.015071,-0.019557,0.095014,0.001237
183,1.525000,0.065401,0.022358,-0.011548,-0.019559,0.095012,0.001252
184,1.533333,0.063044,0.019772,-0.017586,-0.019553,0.095002,0.001246
185,1.541667,0.065560,0.027874,-0.014250,-0.019560,0.095001,0.001247
186,1.550000,0.063941,0.026568,-0.017203,-0.019555,0.095004,0.001262
187,1.558333,0.072181,0.023772,-0.019356,-0.019551,0.095007,0.001265
188,1.566667,0.067525,0.025892,-0.017324,-0.019557,0.095007,0.001254
189,1.575000,0.062553,0.020798,-0.018176,-0.019551,0.094998,0.001263
190,1.583333,0.063264,0.022372,-0.017699,-0.019549,0.095006,0.001258
191,1.591667,0.070689,0.026365,-0.019240,-0.019552,0.094998,0.001270
192,1.600000,0.068563,0.024993,-0.018183,-0.019553,0.095010,0.001263
193,1.608333,0.068736,0.021190,-0.013149,-0.019549,0.095010,0.001247
194,1.616667,0.067039,0.027999,-0.015969,-0.019543,0.095001,0.001235
195,1.625000,0.070534,0.026373,-0.014232,-0.019541,0.095008,0.001242
196,1.633333,0.066422,0.024960,-0.019949,-0.019548,0.095011,0.001251
197,1.641667,0.069951,0.026093,-0.015850,-0.019544,0.095011,0.001236
198,1.650000,0.068433,0.024335,-0.019005,-0.019547,0.095004,0.001251
199,1.658333,0.066821,0.021381,-0.013559,-0.019552,0.095010,0.001256
200,1.666667,0.067118,0.020259,-0.012819,-0.019545,0.094998,0.001256
201,1.675000,0.065721,0.022423,-0.018146,-0.019548,0.094998,0.001257
202,1.683333,0.066873,0.024365,-0.013533,-0.019552,0.095010,0.001256
203,1.691667,0.058743,0.024517,-0.020374,-0.019539,0.094996,0.001262
204,1.700000,0.067776,0.023097,-0.011918,-0.019543,0.095000,0.001246
205,1.708333,0.064990,0.019985,-0.019967,-0.019546,0.095005,0.001253
206,1.716667,0.068042,0.022724,-0.018878,-0.019555,0.095004,0.001258
207,1.725000,0.067851,0.022376,-0.012454,-0.019548,0.095000,0.001259
208,1.733333,0.061727,0.032009,-0.013654,-0.019551,0.095007,0.001241
209,1.741667,0.062950,0.021906,-0.011089,-0.019548,0.095005,0.001250
210,1.750000,0.068070,0.016577,-0.019668,-0.019544,0.094998,0.001259
211,1.758333,0.067106,0.024086,-0.020096,-0.019553,0.095007,0.001252
212,1.766667,0.067060,0.026529,-0.015582,-0.019545,0.095001,0.001243
213,1.775000,0.064968,0.016587,-0.021142,-0.019544,0.095004,0.001252
214,1.783333,0.078408,0.025042,-0.022409,-0.019544,0.095006,0.001244
215,1.791667,0.074715,0.027567,-0.010938,-0.019558,0.095017,0.001251
216,1.800000,0.066980,0.023867,-0.018225,-0.019551,0.095010,0.001255
217,1.808333,0.070166,0.024500,-0.016102,-0.019546,0.095003,0.001260
218,1.816667,0.076278,0.023311,-0.022815,-0.019542,0.095005,0.001250
219,1.825000,0.068787,0.023380,-0.017465,-0.019555,0.095011,0.001250
220,1.833333,0.075196,0.025470,-0.020668,-0.019544,0.095005,0.001254
221,1.841667,0.068878,0.024034,-0.019261,-0.019542,0.094999,0.001262
222,1.850000,0.068590,0.021377,-0.021635,-0.019547,0.095007,0.001256
223,1.858333,0.070267,0.023751,-0.014050,-0.019539,0.095007,0.001251
224,1.866667,0.073865,0.021776,-0.020473,-0.019536,0.095009,0.001252
225,1.875000,0.070942,0.019690,-0.020872,-0.019552,0.095009,0.001244
226,1.883333,0.066974,0.020833,-0.012028,-0.019546,0.095008,0.001256
227,1.891667,0.064568,0.019072,-0.018880,-0.019539,0.095011,0.001250
228,1.900000,0.069252,0.020648,-0.020210,-0.019535,0.095005,0.001240
229,1.908333,0.063878,0.016093,-0.017182,-0.019539,0.095011,0.001241
230,1.916667,0.064428,0.023687,-0.019152,-0.019539,0.095001,0.001243
231,1.925000,0.069753,0.023137,-0.011381,-0.019540,0.095008,0.001244
232,1.933333,0.065374,0.020941,-0.016756,-0.019538,0.095009,0.001249
233,1.941667,0.071426,0.021598,-0.023911,-0.019532,0.095002,0.001260
234,1.950000,0.071318,0.023065,-0.019584,-0.019542,0.095015,0.001249
235,1.958333,0.072700,0.027755,-0.016828,-0.019546,0.095014,0.001257
236,1.966667,0.066049,0.028070,-0.014184,-0.019539,0.095011,0.001250
237,1.975000,0.068057,0.025201,-0.015833,-0.019550,0.095012,0.001245
238,1.983333,0.070761,0.022277,-0.011092,-0.019548,0.095020,0.001246
239,1.991667,0.066528,0.034212,-0.017670,-0.019545,0.095011,0.001248
240,2.000000,0.068603,0.019884,-0.015984,-0.019555,0.095013,0.001237
241,2.008333,0.069073,0.020894,-0.013239,-0.019549,0.095008,0.001249
242,2.016667,0.075427,0.026829,-0.014451,-0.019551,0.095013,0.001250
243,2.025000,0.071486,0.026819,-0.019102,-0.019541,0.095014,0.001248
244,2.033333,0.066228,0.023591,-0.017802,-0.019541,0.095012,0.001248
245,2.041667,0.070361,0.018572,-0.016529,-0.019544,0.095008,0.001255
246,2.050000,0.072076,0.019188,-0.011801,-0.019552,0.095012,0.001247
247,2.058333,0.069660,0.027370,-0.016837,-0.019546,0.095019,0.001243
248,2.066667,0.065593,0.021450,-0.021317,-0.019545,0.095011,0.001259
249,2.075000,0.070483,0.027089,-0.011908,-0.019547,0.095013,0.001255
250,2.083333,0.065087,0.029340,-0.015537,-0.019538,0.095012,0.001251
251,2.091667,0.071342,0.018157,-0.013081,-0.019551,0.095014,0.001263
252,2.100000,0.068915,0.021865,-0.016842,-0.019545,0.095010,0.001268
253,2.108333,0.073244,0.020655,-0.025855,-0.019551,0.095008,0.001257
254,2.116667,0.068319,0.027189,-0.013851,-0.019556,0.095019,0.001254
255,2.125000,0.060940,0.024043,-0.020779,-0.019550,0.095016,0.001258
256,2.133333,0.078891,0.017498,-0.020463,-0.019557,0.095009,0.001261
257,2.141667,0.068975,0.026468,-0.012568,-0.019561,0.095010,0.001257
258,2.150000,0.068004,0.025072,-0.018580,-0.019553,0.095011,0.001258
259,2.158333,0.067739,0.018931,-0.016567,-0.019557,0.095012,0.001266
260,2.166667,0.062550,0.020025,-0.019787,-0.019559,0.095011,0.001273
261,2.175000,0.073242,0.026815,-0.018403,-0.019552,0.095015,0.001257
262,2.183333,0.071415,0.023418,-0.014052,-0.019547,0.095006,0.001267
263,2.191667,0.068328,0.023544,-0.017124,-0.019548,0.095014,0.001254
264,2.200000,0.069151,0.018141,-0.016540,-0.019551,0.095011,0.001264
265,2.208333,0.068332,0.021498,-0.015023,-0.019551,0.095019,0.001258
266,2.216667,0.075270,0.024646,-0.014230,-0.019546,0.095019,0.001250
267,2.225000,0.074872,0.027876,-0.013712,-0.019548,0.095018,0.001259
268,2.233333,0.069396,0.019635,-0.013656,-0.019559,0.095019,0.001262
269,2.241667,0.067446,0.022266,-0.015121,-0.019554,0.095018,0.001254
270,2.250000,0.063631,0.021935,-0.021316,-0.019557,0.095016,0.001268
271,2.258333,0.071905,0.025082,-0.021438,-0.019552,0.095011,0.001261
272,2.266667,0.075631,0.029334,-0.014569,-0.019547,0.095018,0.001259
273,2.275000,0.060611,0.018910,-0.019924,-0.019547,0.095007,0.001261
274,2.283333,0.070853,0.024240,-0.020031,-0.019550,0.095006,0.001264
275,2.291667,0.069410,0.026297,-0.016947,-0.019552,0.094996,0.001255
276,2.300000,0.072269,0.022571,-0.020269,-0.019556,0.095004,0.001275
277,2.308333,0.070894,0.017805,-0.022529,-0.019559,0.095005,0.001275
278,2.316667,0.067710,0.019056,-0.018450,-0.019561,0.095017,0.001273
279,2.325000,0.076937,0.021540,-0.017929,-0.019554,0.095014,0.001259
280,2.333333,0.062213,0.022622,-0.016757,-0.019545,0.095004,0.001260
281,2.341667,0.066391,0.026081,-0.018054,-0.019547,0.095002,0.001255
282,2.350000,0.071904,0.025797,-0.019466,-0.019546,0.095016,0.001251
283,2.358333,0.067877,0.022398,-0.016821,-0.019542,0.095008,0.001249
284,2.366667,0.070428,0.025757,-0.023347,-0.019540,0.095006,0.001247
285,2.375000,0.072953,0.020639,-0.013565,-0.019544,0.095011,0.001268
286,2.383333,0.071706,0.016611,-0.018100,-0.019543,0.095010,0.001246
287,2.391667,0.067066,0.028311,-0.018745,-0.019543,0.095012,0.001250
288,2.400000,0.074507,0.026292,-0.018146,-0.019555,0.095013,0.001260
289,2.408333,0.068489,0.021137,-0.020769,-0.019548,0.095010,0.001245
290,2.416667,0.064700,0.027032,-0.016432,-0.019546,0.095010,0.001249
291,2.425000,0.070727,0.021478,-0.021412,-0.019548,0.095015,0.001247
292,2.433333,0.069887,0.026782,-0.020661,-0.019549,0.095015,0.001249
293,2.441667,0.067508,0.023977,-0.015196,-0.019547,0.094998,0.001269
294,2.450000,0.070083,0.018903,-0.015776,-0.019549,0.095009,0.001256
295,2.458333,0.064796,0.018379,-0.018490,-0.019553,0.095005,0.001256
296,2.466667,0.069714,0.019259,-0.014842,-0.019549,0.094998,0.001266
297,2.475000,0.067347,0.022741,-0.015347,-0.019550,0.095010,0.001260
298,2.483333,0.068154,0.025290,-0.015115,-0.019552,0.095010,0.001259
299,2.491667,0.064783,0.025320,-0.016351,-0.019547,0.095009,0.001258
300,2.500000,0.066092,0.021284,-0.017607,-0.019543,0.095011,0.001258
301,2.508333,0.069181,0.020390,-0.018944,-0.019549,0.095001,0.001260
302,2.516667,0.067380,0.024310,-0.018120,-0.019547,0.094998,0.001257
303,2.525000,0.063495,0.019692,-0.023162,-0.019546,0.094986,0.001270
304,2.533333,0.065922,0.025576,-0.012246,-0.019566,0.094999,0.001256
305,2.541667,0.062091,0.023693,-0.016552,-0.019563,0.095003,0.001261
306,2.550000,0.073957,0.024092,-0.014776,-0.019558,0.095018,0.001252
307,2.558333,0.065584,0.026647,-0.014457,-0.019558,0.095010,0.001258
308,2.566667,0.073151,0.020763,-0.015977,-0.019557,0.095014,0.001251
309,2.575000,0.074598,0.028439,-0.017728,-0.019564,0.095016,0.001238
310,2.583333,0.067030,0.019758,-0.019743,-0.019549,0.095011,0.001238
311,2.591667,0.074327,0.021793,-0.018477,-0.019552,0.095018,0.001234
312,2.600000,0.067275,0.018632,-0.017007,-0.019548,0.095013,0.001250
313,2.608333,0.067552,0.024526,-0.014067,-0.019550,0.095016,0.001247
314,2.616667,0.066832,0.020771,-0.007513,-0.019549,0.095013,0.001255
315,2.625000,0.066745,0.018189,-0.019704,-0.019541,0.095004,0.001272
316,2.633333,0.067028,0.018493,-0.019793,-0.019535,0.095015,0.001259
317,2.641667,0.072475,0.016660,-0.020740,-0.019546,0.095012,0.001248
318,2.650000,0.068119,0.023557,-0.015408,-0.019548,0.095004,0.001253
319,2.658333,0.061171,0.023180,-0.016008,-0.019546,0.095002,0.001258
320,2.666667,0.068952,0.021539,-0.020210,-0.019556,0.095005,0.001251
321,2.675000,0.067700,0.023756,-0.013895,-0.019548,0.095004,0.001252
322,2.683333,0.061000,0.019061,-0.014807,-0.019540,0.095014,0.001245
323,2.691667,0.062417,0.028503,-0.013491,-0.019541,0.095006,0.001244
324,2.700000,0.062544,0.022722,-0.016862,-0.019554,0.095010,0.001251
325,2.708333,0.074482,0.017880,-0.016780,-0.019551,0.095011,0.001236
326,2.716667,0.069662,0.023559,-0.015505,-0.019551,0.095005,0.001241
327,2.725000,0.062107,0.022037,-0.019921,-0.019556,0.095009,0.001252
328,2.733333,0.067074,0.023954,-0.021797,-0.019543,0.095004,0.001256
329,2.741667,0.068974,0.019074,-0.013674,-0.019556,0.095016,0.001247
330,2.750000,0.064975,0.028720,-0.008716,-0.019556,0.095016,0.001249
331,2.758333,0.066986,0.024364,-0.015982,-0.019547,0.095024,0.001246
332,2.766667,0.076559,0.021642,-0.015160,-0.019539,0.095027,0.001238
333,2.775000,0.075833,0.028055,-0.017851,-0.019544,0.095017,0.001240
334,2.783333,0.069876,0.024701,-0.020539,-0.019545,0.095014,0.001237
335,2.791667,0.074994,0.023903,-0.015500,-0.019539,0.095012,0.001238
336,2.800000,0.079417,0.020387,-0.012916,-0.019545,0.095021,0.001234
