Format Version,1.23,Take Name,MS010MPT009,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-03-25 01.21.07.192 PM,Total Frames in Take,32582,Total Exported Frames,32582,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Concorde_S,Concorde_S,Concorde_S,Concorde_S,Concorde_S,Concorde_S
,ID,"FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.014827,-0.017379,0.026171,-0.019795,0.095044,0.001509
1,0.008333,0.011864,-0.019375,0.040337,-0.019785,0.095033,0.001504
2,0.016667,0.036694,-0.005158,0.035433,-0.019769,0.095119,0.001533
3,0.025000,0.026093,-0.005369,0.030935,-0.019777,0.095113,0.001563
4,0.033333,0.022593,-0.006364,0.020971,-0.019810,0.095003,0.001565
5,0.041667,0.019028,-0.010343,0.007795,-0.019794,0.094951,0.001551
6,0.050000,0.028302,-0.007641,0.018205,-0.019778,0.095039,0.001526
7,0.058333,0.018787,-0.003330,0.022854,-0.019803,0.095082,0.001524
8,0.066667,0.024347,-0.008432,0.021694,-0.019825,0.095103,0.001538
9,0.075000,,,,,,
10,0.083333,0.015217,-0.020994,0.013531,-0.019798,0.095064,0.001514
11,0.091667,0.004737,-0.013707,0.015975,-0.019790,0.095065,0.001523
12,0.100000,0.013807,-0.010940,0.023607,-0.019805,0.095093,0.001545
13,0.108333,0.019175,-0.006161,0.021865,-0.019804,0.095106,0.001530
14,0.116667,0.034278,-0.006077,0.032150,-0.019783,0.095091,0.001562
15,0.125000,0.013968,-0.001958,0.031283,-0.019801,0.095055,0.001550
16,0.133333,0.012007,-0.004714,0.024912,-0.019789,0.095040,0.001569
17,0.141667,0.045268,-0.000467,0.019956,-0.019782,0.095098,0.001569
18,0.150000,0.033064,-0.009530,0.021447,-0.019796,0.095090,0.001532
19,0.158333,0.004774,-0.008593,0.013869,-0.019802,0.094966,0.001523
20,0.166667,0.015225,-0.016942,0.017357,-0.019814,0.094961,0.001551
21,0.175000,0.033079,-0.016516,0.015940,-0.019816,0.095073,0.001583
22,0.183333,0.023520,-0.004581,0.017547,-0.019834,0.095108,0.001557
23,0.191667,0.027087,-0.008232,0.017397,-0.019827,0.095086,0.001558
24,0.200000,0.035323,-0.006183,0.021796,-0.019830,0.095092,0.001553
25,0.208333,0.047455,-0.001710,-0.004725,-0.019832,0.095173,0.001584
26,0.216667,0.029026,-0.003426,0.023671,-0.019847,0.095149,0.001534
27,0.225000,0.024375,-0.011425,0.012918,-0.019809,0.095095,0.001499
28,0.233333,0.037304,-0.007710,0.016220,-0.019798,0.095029,0.001498
29,0.241667,0.026078,0.001871,-0.012439,-0.019781,0.095138,0.001534
30,0.250000,0.027304,0.002847,-0.002175,-0.019773,0.095170,0.001541
31,0.258333,0.023818,0.001660,-0.003184,-0.019784,0.095072,0.001516
32,0.266667,0.018170,-0.013140,0.015235,-0.019799,0.095024,0.001472
33,0.275000,0.029728,-0.019768,0.021738,-0.019832,0.095056,0.001486
34,0.283333,0.020697,-0.006817,0.002390,-0.019841,0.094999,0.001510
35,0.291667,0.020391,0.002978,0.018937,-0.019852,0.095016,0.001519
36,0.300000,0.019523,-0.001385,0.015699,-0.019836,0.095082,0.001515
37,0.308333,0.030686,-0.014792,0.007662,-0.019807,0.095088,0.001499
38,0.316667,0.024743,-0.012353,0.020543,-0.019838,0.095084,0.001500
39,0.325000,0.020936,-0.009034,0.019907,-0.019847,0.095043,0.001485
40,0.333333,0.045069,-0.003233,0.013320,-0.019802,0.095107,0.001498
41,0.341667,0.039194,-0.014816,0.005022,-0.019808,0.095229,0.001529
42,0.350000,0.049789,-0.003519,0.004430,-0.019769,0.095222,0.001563
43,0.358333,0.037219,-0.010957,0.024413,-0.019757,0.095135,0.001544
44,0.366667,0.028841,-0.003892,0.034684,-0.019762,0.095140,0.001533
