Format Version,1.23,Take Name,MS024MPT005,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-29 05.20.11.687 PM,Total Frames in Take,3437,Total Exported Frames,3437,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ConcordeS,ConcordeS,ConcordeS,ConcordeS,ConcordeS,ConcordeS
,ID,"D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.613082,-1.826841,-12.890888,-0.141662,0.242314,-0.003264
1,0.008333,-0.660440,-1.807566,-12.859302,-0.141690,0.242247,-0.003256
2,0.016667,-0.656129,-1.799379,-12.847932,-0.141704,0.242231,-0.003262
3,0.025000,-0.624882,-1.849131,-12.842526,-0.141770,0.242196,-0.003306
4,0.033333,-0.626805,-1.839604,-12.889744,-0.141721,0.242301,-0.003293
5,0.041667,-0.619585,-1.835034,-12.868382,-0.141661,0.242311,-0.003257
6,0.050000,-0.610653,-1.850435,-12.900160,-0.141702,0.242328,-0.003310
7,0.058333,-0.609074,-1.823655,-12.892268,-0.141664,0.242333,-0.003290
8,0.066667,-0.606886,-1.821396,-12.894308,-0.141667,0.242327,-0.003293
9,0.075000,-0.609984,-1.854572,-12.901113,-0.141694,0.242333,-0.003322
10,0.083333,-0.611436,-1.851143,-12.905184,-0.141697,0.242329,-0.003313
11,0.091667,-0.610624,-1.855481,-12.906146,-0.141694,0.242329,-0.003325
12,0.100000,-0.616159,-1.856682,-12.898739,-0.141692,0.242326,-0.003311
13,0.108333,-0.610768,-1.852502,-12.901103,-0.141694,0.242326,-0.003315
14,0.116667,-0.612520,-1.849417,-12.902411,-0.141683,0.242335,-0.003302
15,0.125000,-0.604708,-1.820589,-12.896214,-0.141648,0.242322,-0.003273
