Format Version,1.0,
Take Name,MS024MPT004,
Capture Frame Rate,120.00,
Export Frame Rate,120.00,
Capture Start Time,29 Apr 2022 17:18:20 +0200,
Total Frames In Take,3518,
Total Exported Frames,3518,
Coordinate Space,Local,
Device Name,NIDAQ USB-6210 31683603,
Device Type,1,
Device Channel Count,6,
Mocap Rate,120.00,
Mocap Rate Multiple,1.00

MocapFrame, MocapTime, DeviceFrame,Dev2/ai0,Dev2/ai1,Dev2/ai2,Dev2/ai3,Dev2/ai4,Dev2/ai5
0,0.000000,0,-0.822899,0.087854,0.172055,-0.129227,0.066475,-0.229873
1,0.008333,1,-0.823556,0.088841,0.171726,-0.128569,0.066475,-0.229873
2,0.016667,2,-0.822899,0.087525,0.171726,-0.128898,0.066475,-0.229873
3,0.025000,3,-0.822899,0.087525,0.172384,-0.128569,0.066804,-0.230202
4,0.033333,4,-0.823556,0.086868,0.172384,-0.128898,0.067133,-0.229544
5,0.041667,5,-0.823228,0.088841,0.171726,-0.128898,0.066804,-0.230202
6,0.050000,6,-0.822570,0.086210,0.172055,-0.128898,0.066146,-0.230860
7,0.058333,7,-0.822899,0.087525,0.172055,-0.129227,0.066146,-0.230531
8,0.066667,8,-0.823228,0.087197,0.172055,-0.129555,0.066475,-0.230531
9,0.075000,9,-0.823556,0.086539,0.172055,-0.129884,0.066475,-0.230531
10,0.083333,10,-0.822241,0.087525,0.172055,-0.128569,0.066475,-0.229873
11,0.091667,11,-0.822241,0.087525,0.171726,-0.128240,0.066475,-0.229873
12,0.100000,12,-0.822570,0.088183,0.172055,-0.128898,0.066804,-0.229215
13,0.108333,13,-0.823556,0.087854,0.172055,-0.128240,0.066146,-0.229215
14,0.116667,14,-0.823228,0.088183,0.171398,-0.128569,0.066804,-0.229873
15,0.125000,15,-0.823228,0.088183,0.172055,-0.128240,0.066804,-0.229544
16,0.133333,16,-0.823228,0.087854,0.172384,-0.128898,0.066475,-0.229544
17,0.141667,17,-0.822899,0.087854,0.172384,-0.128898,0.067462,-0.230202
18,0.150000,18,-0.823228,0.086539,0.172055,-0.129227,0.066804,-0.230202
19,0.158333,19,-0.823885,0.087525,0.171726,-0.129555,0.066475,-0.230531
20,0.166667,20,-0.822899,0.085881,0.172384,-0.129555,0.066804,-0.230531
21,0.175000,21,-0.823228,0.087525,0.171726,-0.128898,0.066804,-0.229873
22,0.183333,22,-0.822899,0.087525,0.171726,-0.128569,0.066475,-0.229873
23,0.191667,23,-0.823228,0.087525,0.171726,-0.128569,0.066475,-0.229873
24,0.200000,24,-0.823885,0.088183,0.172384,-0.129227,0.066475,-0.229215
25,0.208333,25,-0.822899,0.088512,0.172055,-0.127911,0.066475,-0.229215
26,0.216667,26,-0.823228,0.087197,0.171726,-0.128569,0.066475,-0.229873
27,0.225000,27,-0.822570,0.087197,0.171398,-0.128898,0.066475,-0.230202
28,0.233333,28,-0.822899,0.086868,0.172055,-0.129227,0.066804,-0.230860
