Format Version,1.23,Take Name,MS024MPT006,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-29 05.22.21.954 PM,Total Frames in Take,3189,Total Exported Frames,3189,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ConcordeS,ConcordeS,ConcordeS,ConcordeS,ConcordeS,ConcordeS
,ID,"D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.571343,-1.870444,-12.875823,-0.141724,0.242355,-0.003332
1,0.008333,-0.568702,-1.867378,-12.883433,-0.141716,0.242356,-0.003321
2,0.016667,-0.568172,-1.872553,-12.855075,-0.141669,0.242371,-0.003322
3,0.025000,-0.570122,-1.872947,-12.876565,-0.141718,0.242353,-0.003319
4,0.033333,-0.565045,-1.864919,-12.878742,-0.141721,0.242358,-0.003320
5,0.041667,-0.568778,-1.870203,-12.876768,-0.141725,0.242348,-0.003322
6,0.050000,-0.604854,-1.858047,-12.896323,-0.141701,0.242406,-0.003309
7,0.058333,-0.609825,-1.857675,-12.866181,-0.141651,0.242412,-0.003300
8,0.066667,-0.606465,-1.857444,-12.900519,-0.141704,0.242405,-0.003307
9,0.075000,-0.606506,-1.857782,-12.900900,-0.141700,0.242406,-0.003314
10,0.083333,-0.601340,-1.856977,-12.868704,-0.141646,0.242417,-0.003319
11,0.091667,-0.602414,-1.854725,-12.901318,-0.141698,0.242411,-0.003314
12,0.100000,-0.606955,-1.861247,-12.898082,-0.141696,0.242402,-0.003316
13,0.108333,-0.532921,-1.880974,-12.821658,-0.141679,0.242305,-0.003321
14,0.116667,-0.571067,-1.871973,-12.869320,-0.141720,0.242347,-0.003319
15,0.125000,-0.601212,-1.861323,-12.901368,-0.141697,0.242409,-0.003317
