Format Version,1.0,
Take Name,MS024MPT001,
Capture Frame Rate,120.00,
Export Frame Rate,120.00,
Capture Start Time,28 Apr 2022 19:16:14 +0200,
Total Frames In Take,2983,
Total Exported Frames,2983,
Coordinate Space,Local,
Device Name,NIDAQ USB-6210 31683603,
Device Type,1,
Device Channel Count,6,
Mocap Rate,120.00,
Mocap Rate Multiple,1.00

MocapFrame, MocapTime, DeviceFrame,Dev2/ai0,Dev2/ai1,Dev2/ai2,Dev2/ai3,Dev2/ai4,Dev2/ai5
0,0.000000,0,-0.846251,0.053977,0.183896,-0.112452,0.068120,-0.241385
1,0.008333,1,-0.838357,0.046741,0.171726,-0.112123,0.077000,-0.243358
2,0.016667,2,-0.839344,0.047398,0.177976,-0.106532,0.071738,-0.237438
3,0.025000,3,-0.837700,0.043780,0.174358,-0.102914,0.075356,-0.240069
4,0.033333,4,-0.838028,0.049701,0.185870,-0.095678,0.065160,-0.237109
5,0.041667,5,-0.839673,0.047727,0.183567,-0.096335,0.069764,-0.241056
6,0.050000,6,-0.836055,0.091801,0.185212,-0.113110,0.060555,-0.243687
7,0.058333,7,-0.831450,0.054634,0.189817,-0.067062,0.059897,-0.238425
8,0.066667,8,-0.846251,0.084894,0.191132,-0.152908,0.062857,-0.211125
9,0.075000,9,-0.837042,0.127652,0.211525,-0.157842,0.028650,-0.257830
10,0.083333,10,-0.837371,0.045096,0.192777,-0.090415,0.058252,-0.260791
11,0.091667,11,-0.834410,0.055621,0.193106,-0.144027,0.052990,-0.207507
12,0.100000,12,-0.847238,0.126995,0.209880,-0.168038,0.041478,-0.220006
13,0.108333,13,-0.832108,0.099366,0.198368,-0.099625,0.060226,-0.273618
14,0.116667,14,-0.843949,0.079960,0.190474,-0.152908,0.047727,-0.189417
15,0.125000,15,-0.825859,0.128310,0.186856,-0.109821,0.059897,-0.263751
16,0.133333,16,-0.848554,0.051674,0.183896,-0.109163,0.056279,-0.192706
17,0.141667,17,-0.821254,0.150347,0.190145,-0.145672,0.052332,-0.243030
18,0.150000,18,-0.848225,0.015494,0.189817,-0.059169,0.063186,-0.219677
19,0.158333,19,-0.831779,0.084894,0.186199,-0.135805,0.053319,-0.238096
20,0.166667,20,-0.834410,0.081934,0.184225,-0.128569,0.059897,-0.234149
21,0.175000,21,-0.836713,0.087525,0.174358,-0.124622,0.070751,-0.232175
22,0.183333,22,-0.836713,0.091472,0.170740,-0.125937,0.076342,-0.231189
23,0.191667,23,-0.838686,0.089499,0.175673,-0.126595,0.073382,-0.233162
24,0.200000,24,-0.839015,0.085223,0.182909,-0.127582,0.066146,-0.236122
25,0.208333,25,-0.840002,0.081605,0.183896,-0.126924,0.065160,-0.237767
26,0.216667,26,-0.838357,0.078974,0.187843,-0.130542,0.061870,-0.234807
27,0.225000,27,-0.836713,0.081934,0.190803,-0.128240,0.054634,-0.233820
28,0.233333,28,-0.834739,0.087525,0.193763,-0.124951,0.049372,-0.231847
29,0.241667,29,-0.835068,0.094104,0.190803,-0.122648,0.052661,-0.225926
30,0.250000,30,-0.835726,0.100024,0.185541,-0.121333,0.058581,-0.221650
31,0.258333,31,-0.835397,0.097393,0.185212,-0.121004,0.057595,-0.224611
32,0.266667,32,-0.836055,0.090157,0.190145,-0.126595,0.052990,-0.230531
33,0.275000,33,-0.835397,0.082263,0.193763,-0.132187,0.051345,-0.235465
34,0.283333,34,-0.835068,0.077329,0.193435,-0.134160,0.050359,-0.240727
35,0.291667,35,-0.836055,0.076014,0.196066,-0.133831,0.049701,-0.242043
36,0.300000,36,-0.837371,0.078645,0.198697,-0.131529,0.049043,-0.238754
37,0.308333,37,-0.838686,0.090157,0.194421,-0.124622,0.054634,-0.234149
38,0.316667,38,-0.838686,0.098708,0.184554,-0.117386,0.064502,-0.227571
39,0.325000,39,-0.838686,0.100682,0.179291,-0.116070,0.070751,-0.223295
40,0.333333,40,-0.838357,0.094433,0.178634,-0.118372,0.069764,-0.224611
41,0.341667,41,-0.838028,0.086539,0.177976,-0.122977,0.068449,-0.229873
42,0.350000,42,-0.836384,0.078974,0.178963,-0.131529,0.066475,-0.234807
43,0.358333,43,-0.837042,0.066475,0.173700,-0.127911,0.069764,-0.257173
44,0.366667,44,-0.824872,0.088841,0.183238,-0.135805,0.078645,-0.233820
45,0.375000,45,-0.818952,0.104300,0.190474,-0.147645,0.065160,-0.206849
46,0.383333,46,-0.829477,0.102984,0.184225,-0.135476,0.054634,-0.210467
47,0.391667,47,-0.843620,0.078974,0.168437,-0.116399,0.062528,-0.231847
48,0.400000,48,-0.850198,0.064173,0.173371,-0.115083,0.052661,-0.249937
49,0.408333,49,-0.829148,0.121732,0.211854,-0.116399,0.065488,-0.221321
50,0.416667,50,-0.838686,0.057266,0.187514,-0.122648,0.053648,-0.244345
51,0.425000,51,-0.843949,0.114825,0.195737,-0.102914,0.032268,-0.235465
52,0.433333,52,-0.837042,0.100024,0.213169,-0.140738,0.057595,-0.210796
53,0.441667,53,-0.837371,0.050359,0.202973,-0.136463,0.050359,-0.243687
54,0.450000,54,-0.846251,0.091472,0.196066,-0.112452,0.031282,-0.240727
55,0.458333,55,-0.830792,0.105615,0.194092,-0.157184,0.039833,-0.221979
56,0.466667,56,-0.844936,0.098708,0.187185,-0.129884,0.051016,-0.214743
57,0.475000,57,-0.834739,0.070093,0.182909,-0.122319,0.071738,-0.233491
58,0.483333,58,-0.833095,0.055621,0.195737,-0.102585,0.073382,-0.243030
59,0.491667,59,-0.841318,0.091472,0.195408,-0.113768,0.066475,-0.220993
60,0.500000,60,-0.837042,0.130613,0.178963,-0.136791,0.050687,-0.216717
61,0.508333,61,-0.841318,0.071080,0.176331,-0.109492,0.063515,-0.245661
62,0.516667,62,-0.830792,0.097722,0.162517,-0.161131,0.064831,-0.216059
63,0.525000,63,-0.841646,0.083907,0.183567,-0.138107,0.075685,-0.254541
64,0.533333,64,-0.835726,0.060884,0.181594,-0.111136,0.073382,-0.257173
65,0.541667,65,-0.841975,0.101997,0.168108,-0.162118,0.066804,-0.223953
66,0.550000,66,-0.831779,0.052332,0.198368,-0.109492,0.064831,-0.270658
67,0.558333,67,-0.830135,0.103971,0.177647,-0.159157,0.056937,-0.243030
68,0.566667,68,-0.828161,0.111536,0.173700,-0.153237,0.053648,-0.217703
69,0.575000,69,-0.840989,0.128639,0.177647,-0.169682,0.051016,-0.207507
70,0.583333,70,-0.826517,0.124034,0.179949,-0.151592,0.046741,-0.209481
71,0.591667,71,-0.838028,0.127324,0.184225,-0.170669,0.041149,-0.201916
72,0.600000,72,-0.829148,0.124363,0.181265,-0.165407,0.041807,-0.204218
73,0.608333,73,-0.839673,0.102326,0.184883,-0.171656,0.038847,-0.196982
74,0.616667,74,-0.830135,0.106273,0.197710,-0.123635,0.043451,-0.267040
75,0.625000,75,-0.837042,0.026019,0.190803,-0.065089,0.060555,-0.237109
76,0.633333,76,-0.843620,0.093775,0.190803,-0.175603,0.057923,-0.208494
77,0.641667,77,-0.835397,0.130942,0.200342,-0.154224,0.039833,-0.259146
78,0.650000,78,-0.834739,0.039505,0.179949,-0.066734,0.070093,-0.251910
79,0.658333,79,-0.836055,0.067791,0.180607,-0.147974,0.066146,-0.198627
80,0.666667,80,-0.830135,0.132586,0.188830,-0.124622,0.068778,-0.265724
81,0.675000,81,-0.846580,0.068449,0.177318,-0.137120,0.066475,-0.188759
82,0.683333,82,-0.824872,0.135875,0.174687,-0.129227,0.069106,-0.256844
83,0.691667,83,-0.849869,0.038189,0.176660,-0.093704,0.069764,-0.205205
84,0.700000,84,-0.824543,0.144098,0.185212,-0.161131,0.055950,-0.235465
85,0.708333,85,-0.846251,0.028322,0.168108,-0.073641,0.083250,-0.233820
86,0.716667,86,-0.826517,0.093775,0.184883,-0.145672,0.050687,-0.242043
87,0.725000,87,-0.836713,0.080947,0.187843,-0.125280,0.057266,-0.235793
88,0.733333,88,-0.837371,0.089170,0.188830,-0.126924,0.057266,-0.232175
89,0.741667,89,-0.837700,0.095419,0.182252,-0.123635,0.065160,-0.229215
90,0.750000,90,-0.838686,0.092459,0.188501,-0.123964,0.061542,-0.227900
91,0.758333,91,-0.838686,0.088183,0.194421,-0.123635,0.052661,-0.232175
92,0.766667,92,-0.837371,0.085552,0.198368,-0.125280,0.048714,-0.235793
93,0.775000,93,-0.838028,0.084565,0.198697,-0.127253,0.050030,-0.235793
94,0.783333,94,-0.836713,0.085552,0.197381,-0.128240,0.050687,-0.234478
95,0.791667,95,-0.836384,0.088183,0.194750,-0.125937,0.049701,-0.234149
96,0.800000,96,-0.836055,0.091143,0.190474,-0.124951,0.054634,-0.231189
97,0.808333,97,-0.836055,0.094433,0.183896,-0.124622,0.062857,-0.228557
98,0.816667,98,-0.837371,0.089828,0.180278,-0.124622,0.065817,-0.229215
99,0.825000,99,-0.837371,0.083578,0.180936,-0.127253,0.063844,-0.231518
100,0.833333,100,-0.836055,0.079632,0.183238,-0.130871,0.060884,-0.233820
101,0.841667,101,-0.834739,0.079632,0.181923,-0.130542,0.061870,-0.234149
102,0.850000,102,-0.834739,0.082921,0.180607,-0.128898,0.063515,-0.232504
103,0.858333,103,-0.835726,0.085552,0.180936,-0.125937,0.063844,-0.229873
104,0.866667,104,-0.836055,0.093117,0.181265,-0.123306,0.065817,-0.228886
105,0.875000,105,-0.837700,0.093446,0.180278,-0.120346,0.067791,-0.228557
106,0.883333,106,-0.839015,0.090815,0.180607,-0.121662,0.068778,-0.229873
107,0.891667,107,-0.838686,0.086210,0.185870,-0.124951,0.064173,-0.233820
108,0.900000,108,-0.838357,0.079303,0.190145,-0.128240,0.058252,-0.237767
109,0.908333,109,-0.837042,0.080947,0.193106,-0.130542,0.053977,-0.238425
110,0.916667,110,-0.835397,0.081605,0.193763,-0.131529,0.052003,-0.236451
111,0.925000,111,-0.834739,0.085552,0.192119,-0.129227,0.051016,-0.233162
112,0.933333,112,-0.834082,0.093446,0.191132,-0.126266,0.052003,-0.229873
113,0.941667,113,-0.835726,0.094104,0.191461,-0.123964,0.053648,-0.226584
114,0.950000,114,-0.837042,0.093775,0.189159,-0.122648,0.055292,-0.226584
115,0.958333,115,-0.837700,0.089828,0.189817,-0.123635,0.055950,-0.228557
116,0.966667,116,-0.837371,0.086868,0.191461,-0.125609,0.055950,-0.231518
117,0.975000,117,-0.837700,0.083250,0.192119,-0.127253,0.055621,-0.233820
118,0.983333,118,-0.838028,0.083907,0.189159,-0.128898,0.057595,-0.235465
119,0.991667,119,-0.837371,0.086210,0.185870,-0.128240,0.061542,-0.235465
120,1.000000,120,-0.837042,0.086868,0.183238,-0.127582,0.064173,-0.234807
121,1.008333,121,-0.837042,0.087197,0.180607,-0.125937,0.066146,-0.233491
122,1.016667,122,-0.837042,0.086539,0.179620,-0.125937,0.067791,-0.232833
123,1.025000,123,-0.837042,0.085881,0.179620,-0.126595,0.067133,-0.232175
124,1.033333,124,-0.836713,0.083907,0.181594,-0.125937,0.064831,-0.231189
125,1.041667,125,-0.835397,0.085223,0.181923,-0.126266,0.062199,-0.230531
126,1.050000,126,-0.834739,0.087854,0.183238,-0.125609,0.060884,-0.229544
127,1.058333,127,-0.834410,0.089828,0.183567,-0.125280,0.059897,-0.228557
128,1.066667,128,-0.835068,0.090157,0.184225,-0.125280,0.059568,-0.228886
129,1.075000,129,-0.836055,0.090157,0.186856,-0.126595,0.057923,-0.230531
130,1.083333,130,-0.837042,0.085552,0.189159,-0.127911,0.055621,-0.233162
131,1.091667,131,-0.838357,0.081934,0.191461,-0.128898,0.055292,-0.235793
132,1.100000,132,-0.839673,0.082921,0.194421,-0.128569,0.054305,-0.235793
133,1.108333,133,-0.839015,0.085223,0.196395,-0.127253,0.053648,-0.235465
134,1.116667,134,-0.838686,0.087854,0.195737,-0.124951,0.053977,-0.233491
135,1.125000,135,-0.837700,0.092459,0.193435,-0.123306,0.054963,-0.231518
136,1.133333,136,-0.837042,0.094761,0.191132,-0.122977,0.056608,-0.230531
137,1.141667,137,-0.836384,0.092459,0.189159,-0.123964,0.057595,-0.230202
138,1.150000,138,-0.836713,0.086868,0.187843,-0.126266,0.058910,-0.231518
