Format Version,1.23,Take Name,MS024MPT009,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-29 05.42.21.377 PM,Total Frames in Take,30551,Total Exported Frames,30551,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ConcordeS,ConcordeS,ConcordeS,ConcordeS,ConcordeS,ConcordeS
,ID,"D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
65,0.541667,-0.677622,-1.854017,-12.939401,-0.141700,0.242672,-0.003336
66,0.550000,-0.632001,-1.847089,-12.897875,-0.141681,0.242588,-0.003318
67,0.558333,-0.671912,-1.854262,-12.937846,-0.141702,0.242676,-0.003338
68,0.566667,-0.619701,-1.844825,-12.855033,-0.141616,0.242597,-0.003332
69,0.575000,-0.639409,-1.844615,-12.897914,-0.141668,0.242590,-0.003318
70,0.583333,-0.638446,-1.837397,-12.855221,-0.141657,0.242595,-0.003330
71,0.591667,-0.634243,-1.847195,-12.907220,-0.141673,0.242606,-0.003317
72,0.600000,-0.673798,-1.843235,-12.889354,-0.141679,0.242667,-0.003348
73,0.608333,-0.694765,-1.821660,-12.866504,-0.141719,0.242512,-0.003315
74,0.616667,-0.640237,-1.841517,-12.910582,-0.141675,0.242609,-0.003318
75,0.625000,-0.674101,-1.843853,-12.889976,-0.141670,0.242672,-0.003352
76,0.633333,-0.633138,-1.839123,-12.854969,-0.141656,0.242598,-0.003341
77,0.641667,-0.634395,-1.844382,-12.902650,-0.141665,0.242597,-0.003320
78,0.650000,-0.632995,-1.838023,-12.854615,-0.141665,0.242588,-0.003329
79,0.658333,-0.633173,-1.849831,-12.863463,-0.141607,0.242595,-0.003322
