Format Version,1.23,Take Name,MS024MPT001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-28 07.16.14.791 PM,Total Frames in Take,2983,Total Exported Frames,2983,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ConcordeS,ConcordeS,ConcordeS,ConcordeS,ConcordeS,ConcordeS,ail_R,ail_R,ail_R,ail_R,ail_R,ail_R,ail_L,ail_L,ail_L,ail_L,ail_L,ail_L
,ID,"D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","BB1B5930C6D211ECB7ECD18E5C9C329F","BB1B5930C6D211ECB7ECD18E5C9C329F","BB1B5930C6D211ECB7ECD18E5C9C329F","BB1B5930C6D211ECB7ECD18E5C9C329F","BB1B5930C6D211ECB7ECD18E5C9C329F","BB1B5930C6D211ECB7ECD18E5C9C329F","C616C3E4C6D211ECB7ECD18E5C9C329F","C616C3E4C6D211ECB7ECD18E5C9C329F","C616C3E4C6D211ECB7ECD18E5C9C329F","C616C3E4C6D211ECB7ECD18E5C9C329F","C616C3E4C6D211ECB7ECD18E5C9C329F","C616C3E4C6D211ECB7ECD18E5C9C329F"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,0.175000,-0.673766,-1.863074,-12.782798,-0.141815,0.242280,-0.003376,0.375741,0.148236,-1.196725,-0.437183,0.195836,0.378283,-0.593249,-0.079267,2.809215,-0.427464,0.202790,-0.389162
22,0.183333,-0.666266,-1.864080,-12.786424,-0.141802,0.242283,-0.003366,0.328671,0.145653,-1.098163,-0.437191,0.195814,0.378286,-0.620961,-0.091625,2.702937,-0.427501,0.202718,-0.389168
23,0.191667,-0.672926,-1.857364,-12.781927,-0.141804,0.242286,-0.003371,0.381231,0.194269,-1.234563,-0.437075,0.195871,0.378315,-0.360241,-0.080837,3.393568,-0.427447,0.202648,-0.389262
24,0.200000,-0.668286,-1.857593,-12.781396,-0.141832,0.242279,-0.003375,0.366366,0.154034,-1.191517,-0.437155,0.195840,0.378298,-0.598813,-0.076382,2.834635,-0.427478,0.202744,-0.389154
25,0.208333,-0.669649,-1.860937,-12.781758,-0.141831,0.242263,-0.003370,0.304567,0.142973,-1.035466,-0.437164,0.195803,0.378293,-0.618055,-0.093104,2.703364,-0.427490,0.202730,-0.389160
26,0.216667,-0.622863,-1.857216,-12.752853,-0.141799,0.242212,-0.003335,0.363648,0.149126,-1.163828,-0.437155,0.195790,0.378298,-0.597045,-0.094676,2.738843,-0.427487,0.202755,-0.389165
27,0.225000,-0.626506,-1.860467,-12.754400,-0.141801,0.242211,-0.003331,0.377716,0.146430,-1.175892,-0.437166,0.195744,0.378308,-0.591159,-0.088465,2.722457,-0.427482,0.202800,-0.389164
28,0.233333,-0.624859,-1.863145,-12.757067,-0.141811,0.242200,-0.003318,0.379763,0.147681,-1.171510,-0.437172,0.195703,0.378299,-0.575983,-0.089464,2.737935,-0.427481,0.202834,-0.389156
29,0.241667,-0.659305,-1.860426,-12.783901,-0.141808,0.242264,-0.003329,0.397226,0.145885,-1.187701,-0.437173,0.195676,0.378295,-0.559087,-0.085490,2.826087,-0.427457,0.202913,-0.389151
30,0.250000,-0.616645,-1.847597,-12.757180,-0.141846,0.242212,-0.003315,0.377954,0.143337,-1.142981,-0.437168,0.195661,0.378300,-0.542224,-0.143155,2.821752,-0.427340,0.202966,-0.389159
31,0.258333,-0.647592,-1.864597,-12.788811,-0.141814,0.242264,-0.003331,0.365174,0.142533,-1.096191,-0.437175,0.195653,0.378309,-0.456550,-0.138071,2.936909,-0.427359,0.203065,-0.389088
32,0.266667,-0.651096,-1.860492,-12.786434,-0.141811,0.242276,-0.003322,0.391545,0.152305,-1.162895,-0.437159,0.195659,0.378313,-0.345578,-0.137619,3.300093,-0.427348,0.202903,-0.389240
33,0.275000,-0.654246,-1.857921,-12.785480,-0.141862,0.242280,-0.003344,0.375248,0.146206,-1.148012,-0.437160,0.195684,0.378309,-0.338583,-0.141955,3.318520,-0.427354,0.202898,-0.389242
34,0.283333,-0.655168,-1.857735,-12.778461,-0.141821,0.242276,-0.003333,0.361602,0.151168,-1.123091,-0.437158,0.195689,0.378303,-0.477562,-0.139297,2.901249,-0.427368,0.203032,-0.389064
35,0.291667,-0.662530,-1.851989,-12.779557,-0.141858,0.242275,-0.003340,0.367512,0.149264,-1.146921,-0.437158,0.195718,0.378289,-0.562064,-0.147253,2.787713,-0.427387,0.202949,-0.389137
36,0.300000,-0.653465,-1.860069,-12.784312,-0.141824,0.242278,-0.003350,0.316309,0.142969,-1.022962,-0.437185,0.195724,0.378311,-0.556171,-0.142933,2.821546,-0.427385,0.202926,-0.389140
37,0.308333,-0.624146,-1.855392,-12.752804,-0.141859,0.242209,-0.003337,0.320053,0.147468,-1.050137,-0.437188,0.195739,0.378292,-0.565690,-0.084126,2.841723,-0.427486,0.202856,-0.389147
38,0.316667,-0.663733,-1.866277,-12.779433,-0.141804,0.242265,-0.003359,0.345232,0.146687,-1.120432,-0.437175,0.195775,0.378278,-0.590825,-0.088656,2.806387,-0.427470,0.202817,-0.389165
39,0.325000,-0.671881,-1.866325,-12.787248,-0.141813,0.242261,-0.003358,0.292625,0.183567,-1.016404,-0.437119,0.195785,0.378304,-0.575943,-0.089058,2.850957,-0.427460,0.202788,-0.389172
40,0.333333,-0.671191,-1.865238,-12.782809,-0.141800,0.242258,-0.003363,0.356007,0.143027,-1.145139,-0.437175,0.195802,0.378276,-0.586367,-0.080895,2.827910,-0.427451,0.202773,-0.389171
41,0.341667,-0.638183,-1.848893,-12.755518,-0.141842,0.242204,-0.003342,0.382328,0.148208,-1.199409,-0.437169,0.195796,0.378280,-0.581270,-0.086083,2.833887,-0.427457,0.202767,-0.389173
42,0.350000,-0.642535,-1.856071,-12.748847,-0.141809,0.242190,-0.003337,0.360124,0.144806,-1.155703,-0.437168,0.195803,0.378275,-0.585134,-0.086077,2.835208,-0.427465,0.202752,-0.389160
43,0.358333,-0.671318,-1.854493,-12.779655,-0.141841,0.242255,-0.003365,0.319114,0.140884,-1.059550,-0.437170,0.195782,0.378297,-0.593215,-0.084949,2.816335,-0.427470,0.202761,-0.389151
44,0.366667,-0.670344,-1.857684,-12.779591,-0.141840,0.242262,-0.003360,0.366090,0.149574,-1.175433,-0.437167,0.195790,0.378284,-0.569107,-0.084437,2.863000,-0.427476,0.202783,-0.389168
45,0.375000,-0.624969,-1.853804,-12.752305,-0.141817,0.242203,-0.003335,0.355095,0.189549,-1.148750,-0.437098,0.195796,0.378309,-0.565643,-0.086691,2.849213,-0.427490,0.202811,-0.389160
46,0.383333,-0.666929,-1.859300,-12.779850,-0.141810,0.242270,-0.003357,0.366679,0.148854,-1.176550,-0.437162,0.195780,0.378280,-0.367958,-0.077932,3.341302,-0.427462,0.202744,-0.389249
47,0.391667,-0.661537,-1.857029,-12.781620,-0.141857,0.242270,-0.003360,0.358928,0.143923,-1.139947,-0.437173,0.195766,0.378297,-0.558765,-0.082375,2.850121,-0.427487,0.202875,-0.389142
48,0.400000,-0.659291,-1.863289,-12.788390,-0.141826,0.242265,-0.003342,0.366536,0.143956,-1.152386,-0.437171,0.195738,0.378296,-0.573103,-0.082220,2.810844,-0.427485,0.202897,-0.389147
49,0.408333,-0.623091,-1.851224,-12.751981,-0.141867,0.242211,-0.003323,0.368636,0.145472,-1.142911,-0.437181,0.195719,0.378291,-0.351573,-0.081806,3.340748,-0.427451,0.202823,-0.389259
50,0.416667,-0.624896,-1.853482,-12.751370,-0.141817,0.242204,-0.003316,0.390100,0.146744,-1.187552,-0.437185,0.195713,0.378289,-0.478444,-0.140493,2.910909,-0.427350,0.203012,-0.389087
51,0.425000,-0.615139,-1.856430,-12.762218,-0.141820,0.242228,-0.003317,0.366867,0.145467,-1.133370,-0.437175,0.195701,0.378292,-0.371923,-0.141714,3.063833,-0.427339,0.203081,-0.389051
52,0.433333,-0.655702,-1.855062,-12.784648,-0.141842,0.242267,-0.003329,0.317904,0.140315,-1.000996,-0.437188,0.195668,0.378320,-0.372994,-0.080784,3.287561,-0.427450,0.202835,-0.389230
53,0.441667,-0.659104,-1.858455,-12.795174,-0.141806,0.242275,-0.003329,0.374628,0.144458,-1.140149,-0.437163,0.195684,0.378319,-0.561118,-0.083617,2.820709,-0.427473,0.202931,-0.389134
54,0.450000,-0.649004,-1.862013,-12.794928,-0.141808,0.242270,-0.003335,0.317426,0.143649,-0.998019,-0.437161,0.195661,0.378308,-0.562030,-0.078541,2.831676,-0.427484,0.202918,-0.389139
55,0.458333,-0.658569,-1.865466,-12.787501,-0.141802,0.242270,-0.003346,0.324048,0.144663,-1.017745,-0.437168,0.195665,0.378316,-0.577594,-0.080200,2.797181,-0.427479,0.202897,-0.389127
56,0.466667,-0.663804,-1.860298,-12.783620,-0.141807,0.242261,-0.003343,0.369850,0.148354,-1.128719,-0.437158,0.195717,0.378284,-0.575169,-0.079949,2.816363,-0.427475,0.202880,-0.389136
57,0.475000,-0.666305,-1.864671,-12.790021,-0.141815,0.242275,-0.003362,0.370089,0.140916,-1.147407,-0.437167,0.195733,0.378277,-0.581411,-0.082504,2.811514,-0.427482,0.202864,-0.389148
58,0.483333,-0.663113,-1.866971,-12.792282,-0.141816,0.242276,-0.003363,0.315466,0.150142,-1.019537,-0.437182,0.195785,0.378237,-0.572076,-0.084676,2.862642,-0.427481,0.202818,-0.389177
59,0.491667,-0.663954,-1.867717,-12.790066,-0.141812,0.242278,-0.003368,0.317762,0.144314,-1.049043,-0.437187,0.195769,0.378278,-0.598566,-0.089592,2.816086,-0.427472,0.202792,-0.389175
60,0.500000,-0.670064,-1.859413,-12.782974,-0.141842,0.242273,-0.003380,0.357460,0.188755,-1.166515,-0.437101,0.195812,0.378285,-0.370740,-0.146032,3.342261,-0.427327,0.202716,-0.389277
61,0.508333,-0.667880,-1.857960,-12.780629,-0.141811,0.242277,-0.003367,0.378705,0.153737,-1.199446,-0.437187,0.195804,0.378281,-0.570376,-0.143484,2.824239,-0.427360,0.202839,-0.389182
62,0.516667,-0.667169,-1.858052,-12.785560,-0.141847,0.242281,-0.003374,0.367218,0.147460,-1.168489,-0.437182,0.195797,0.378278,-0.362417,-0.083092,3.372930,-0.427452,0.202717,-0.389286
63,0.525000,-0.663963,-1.860263,-12.791283,-0.141808,0.242278,-0.003371,0.359823,0.188840,-1.160500,-0.437099,0.195803,0.378301,-0.370365,-0.081602,3.348598,-0.427453,0.202714,-0.389286
64,0.533333,-0.630006,-1.859138,-12.755834,-0.141813,0.242222,-0.003355,0.368023,0.144048,-1.162074,-0.437175,0.195781,0.378287,-0.578408,-0.086668,2.819445,-0.427483,0.202832,-0.389173
65,0.541667,-0.664624,-1.867536,-12.784069,-0.141808,0.242275,-0.003364,0.373286,0.146648,-1.180705,-0.437173,0.195773,0.378276,-0.578147,-0.085295,2.826827,-0.427471,0.202849,-0.389157
66,0.550000,-0.661623,-1.864582,-12.788518,-0.141802,0.242271,-0.003362,0.362480,0.144281,-1.149203,-0.437166,0.195775,0.378286,-0.376546,-0.076269,3.345319,-0.427440,0.202734,-0.389270
67,0.558333,-0.662274,-1.861099,-12.790310,-0.141809,0.242268,-0.003345,0.370092,0.149431,-1.183169,-0.437169,0.195761,0.378291,-0.570611,-0.081989,2.858326,-0.427461,0.202840,-0.389158
68,0.566667,-0.658961,-1.858753,-12.778580,-0.141846,0.242249,-0.003360,0.358639,0.147988,-1.136668,-0.437162,0.195734,0.378292,-0.565088,-0.081803,2.856057,-0.427467,0.202858,-0.389158
69,0.575000,-0.667112,-1.860371,-12.792229,-0.141798,0.242270,-0.003348,0.389595,0.147150,-1.177378,-0.437158,0.195708,0.378295,-0.360045,-0.076756,3.352635,-0.427435,0.202782,-0.389249
70,0.583333,-0.662010,-1.862549,-12.780474,-0.141801,0.242269,-0.003344,0.385806,0.147405,-1.165792,-0.437157,0.195689,0.378309,-0.588088,-0.077605,2.764040,-0.427477,0.202916,-0.389135
71,0.591667,-0.658356,-1.858866,-12.782562,-0.141806,0.242263,-0.003330,0.383652,0.146890,-1.160946,-0.437161,0.195679,0.378303,-0.264809,-0.139653,3.453087,-0.427311,0.202889,-0.389202
72,0.600000,-0.654801,-1.862338,-12.790017,-0.141804,0.242271,-0.003342,0.360120,0.142328,-1.100986,-0.437167,0.195673,0.378291,-0.265745,-0.134121,3.453541,-0.427323,0.202898,-0.389195
73,0.608333,-0.652896,-1.863744,-12.793486,-0.141813,0.242270,-0.003349,0.375973,0.141914,-1.141505,-0.437176,0.195687,0.378308,-0.351750,-0.143295,3.323091,-0.427332,0.202829,-0.389251
74,0.616667,-0.658762,-1.860598,-12.792831,-0.141811,0.242275,-0.003346,0.362588,0.141151,-1.120620,-0.437188,0.195709,0.378289,-0.369142,-0.077156,3.323455,-0.427442,0.202798,-0.389267
