timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
1929690803,1.69345,1.75824,26.5999,1.0
1929701565,1.67708,1.7413,26.6214,1.0
1929712265,1.66264,1.72629,26.6128,1.0
1929723016,1.64927,1.71243,26.6214,1.0
1929733712,1.63575,1.69838,26.6171,1.0
1929744532,1.62356,1.686,26.7148,1.0
1929755266,1.61296,1.67501,26.7248,1.0
1929766042,1.60111,1.66266,26.7077,1.0
1929776760,1.58839,1.64953,26.7362,1.0
1929830340,1.6678,1.73197,26.7177,1.0
1929841041,1.70764,1.77299,26.6028,1.0
1929851734,1.75066,1.81773,26.6257,1.0
1929862436,1.79923,1.86817,26.6257,1.0
1931129669,2.25044,2.33657,26.6042,1.0
1931140378,2.23406,2.31963,26.6228,1.0
1931151100,2.21647,2.30136,26.6228,1.0
1931161795,2.19874,2.28295,26.6285,1.0
1931172575,2.18145,2.26494,26.6157,1.0
1931183365,2.16774,2.25067,26.6042,1.0
1931194124,2.15841,2.24095,26.5957,1.0
1931204924,2.15221,2.23458,26.5999,1.0
1931215694,2.14988,2.23226,26.6271,1.0
1931226399,2.15316,2.23565,26.6242,1.0
1931237145,2.16148,2.24423,26.6042,1.0
1931269277,2.19102,2.27483,26.5957,1.0
1931279969,2.19329,2.27718,26.5971,1.0
1931290801,2.19069,2.2746,26.6271,1.0
1931301505,2.18336,2.26693,26.6128,1.0
1931602289,1.9292,2.003,26.5971,1.0
1931613015,1.92114,1.9947,26.6157,1.0
1931623737,1.91275,1.986,26.6214,1.0
1931634427,1.9059,1.97894,26.6342,1.0
1931645116,1.90123,1.97405,26.62,1.0
1931655810,1.89709,1.96969,26.6014,1.0
1931666506,1.89212,1.96459,26.6214,1.0
1931677238,1.8866,1.9588,26.6042,1.0
1931687988,1.8795,1.95149,26.6214,1.0
1931730943,1.85312,1.92415,26.6385,1.0
1931741688,1.85236,1.92339,26.6443,1.0
1931752483,1.85588,1.92702,26.6371,1.0
1931763210,1.86133,1.93257,26.6028,1.0
1932042440,1.99905,2.07563,26.6228,1.0
1932053173,2.00103,2.07768,26.6214,1.0
1932063873,2.00072,2.07728,26.5985,1.0
1932074622,1.99647,2.07296,26.6271,1.0
1932085346,1.99056,2.06687,26.64,1.0
1932096036,1.98569,2.06183,26.6471,1.0
1932106734,1.98209,2.05792,26.5985,1.0
1932117430,1.97807,2.05416,26.7191,1.0
1932128128,1.97353,2.04945,26.7177,1.0
1932138848,1.97095,2.04675,26.7134,1.0
1932171125,1.98443,2.06075,26.7191,1.0
1932181845,1.9942,2.07082,26.6934,1.0
1932192640,2.00433,2.08142,26.7191,1.0
1932203392,2.01597,2.09355,26.7248,1.0
1932504065,2.18966,2.27355,26.6228,1.0
1932514760,2.17667,2.26006,26.62,1.0
1932525560,2.16386,2.24672,26.62,1.0
1932536266,2.15143,2.23384,26.6271,1.0
1932547040,2.1399,2.22186,26.6257,1.0
1932557778,2.12935,2.2109,26.6242,1.0
1932568571,2.12035,2.20165,26.6443,1.0
1932579284,2.11318,2.19411,26.6157,1.0
1932589979,2.10568,2.18637,26.6285,1.0
1932600703,2.0966,2.17693,26.6257,1.0
1932643717,2.05649,2.13525,26.6257,1.0
1932654434,2.03927,2.11736,26.6228,1.0
1932665198,2.02117,2.09865,26.6443,1.0
1932675912,2.00638,2.08329,26.6471,1.0
1932976677,1.76991,1.8377,26.6271,1.0
