timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
1579900135,15.5633,15.6106,92.6466,92.6538,0.0,40653.1,0.542524,1.07619,nan,4,3.90264,3.90264,3.90264,3.90264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1579910096,15.4484,15.609,92.6173,92.6531,0.0,40653.3,0.541906,1.07631,nan,4,3.90224,3.90224,3.90224,3.90224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1579920154,15.5505,15.6084,92.7052,92.6542,0.0,40653.6,0.541684,1.07634,nan,4,3.90209,3.90209,3.90209,3.90209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1579930098,15.4228,15.6065,92.7052,92.6552,0.0,40653.9,0.540977,1.07647,nan,4,3.90163,3.90163,3.90163,3.90163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1579940191,15.7292,15.6078,92.6466,92.655,0.0,40654.1,0.541444,1.07639,nan,4,3.90194,3.90194,3.90194,3.90194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1579950100,15.5505,15.6072,92.6173,92.6542,0.0,40654.4,0.541226,1.07643,nan,4,3.9018,3.9018,3.9018,3.9018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1579960102,15.6782,15.6079,92.6173,92.6535,0.0,40654.6,0.541497,1.07638,nan,4,3.90197,3.90197,3.90197,3.90197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1579970100,15.5505,15.6073,92.7052,92.6545,0.0,40654.9,0.541278,1.07642,nan,4,3.90183,3.90183,3.90183,3.90183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1579980098,15.7931,15.6092,92.6759,92.655,0.0,40655.2,0.541986,1.07629,nan,4,3.90229,3.90229,3.90229,3.90229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1579990107,15.5377,15.6085,92.6759,92.6554,0.0,40655.4,0.541714,1.07634,nan,4,3.90211,3.90211,3.90211,3.90211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580010138,15.742,15.6111,92.6466,92.6539,0.0,40655.9,0.542726,1.07616,nan,4,3.90277,3.90277,3.90277,3.90277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580020098,15.5377,15.6104,92.588,92.6526,0.0,40656.2,0.542447,1.07621,nan,4,3.90259,3.90259,3.90259,3.90259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580030103,15.4994,15.6093,92.6466,92.6525,0.0,40656.4,0.542024,1.07628,nan,4,3.90232,3.90232,3.90232,3.90232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580040097,15.5888,15.6091,92.6173,92.6518,0.0,40656.7,0.541946,1.0763,nan,4,3.90226,3.90226,3.90226,3.90226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580340231,15.6016,15.6114,92.6759,92.6508,0.0,40664.4,0.54286,1.07613,nan,4,3.90286,3.90286,3.90286,3.90286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580350223,15.4611,15.6099,92.6759,92.6513,0.0,40664.7,0.542288,1.07624,nan,4,3.90249,3.90249,3.90249,3.90249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580360283,15.7548,15.6114,92.6173,92.6506,0.0,40665.0,0.542839,1.07614,nan,4,3.90285,3.90285,3.90285,3.90285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580370329,15.7165,15.6124,92.6759,92.6511,0.0,40665.2,0.54324,1.07607,nan,4,3.90311,3.90311,3.90311,3.90311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580380275,15.6909,15.6132,92.6466,92.651,0.0,40665.5,0.543539,1.07601,nan,4,3.9033,3.9033,3.9033,3.9033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580390254,15.4994,15.6121,92.6173,92.6504,0.0,40665.7,0.543105,1.07609,nan,4,3.90302,3.90302,3.90302,3.90302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580400252,15.359,15.6096,92.6759,92.6509,0.0,40666.0,0.542141,1.07626,nan,4,3.90239,3.90239,3.90239,3.90239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580410275,15.6782,15.6102,92.6466,92.6508,0.0,40666.2,0.542403,1.07622,nan,4,3.90256,3.90256,3.90256,3.90256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580420208,15.4867,15.609,92.6759,92.6513,0.0,40666.5,0.541932,1.0763,nan,4,3.90226,3.90226,3.90226,3.90226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580430198,15.4484,15.6074,92.6466,92.6512,0.0,40666.8,0.54132,1.07641,nan,4,3.90186,3.90186,3.90186,3.90186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580490242,15.2824,15.6011,92.6466,92.6523,0.0,40668.3,0.538877,1.07685,nan,4,3.90027,3.90027,3.90027,3.90027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580500197,15.5505,15.6006,92.6466,92.6522,0.0,40668.6,0.538684,1.07688,nan,4,3.90014,3.90014,3.90014,3.90014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
