timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
1579091815,-0.675394,-0.700113,25.6372,1.0
1579102510,-0.630467,-0.65354,25.6358,1.0
1579113203,-0.562216,-0.582799,25.6429,1.0
1579123891,-0.469878,-0.487098,25.6644,1.0
1579134619,-0.339605,-0.35204,25.6458,1.0
1579446235,1.78822,1.85371,25.6515,1.0
1579456932,1.8198,1.88651,25.6715,1.0
1579467645,1.84288,1.9104,25.6658,1.0
1579478469,1.85565,1.92364,25.6644,1.0
1579489232,1.85792,1.92592,25.6415,1.0
1579499993,1.8489,1.91658,25.6458,1.0
1579510830,1.82893,1.89587,25.6443,1.0
1579521524,1.79914,1.86499,25.6486,1.0
1579532285,1.7598,1.82416,25.6329,1.0
1579553788,1.65465,1.71514,25.6243,1.0
1579564596,1.59291,1.65122,25.6515,1.0
1579575313,1.52449,1.58029,25.6415,1.0
1579586005,1.44872,1.5017,25.6243,1.0
1579897637,0.945228,0.979791,25.6243,1.0
1579908332,0.933472,0.967605,25.6243,1.0
1579919025,0.914845,0.948367,25.6686,1.0
1579929751,0.899674,0.932607,25.6472,1.0
1579940474,0.887954,0.920458,25.6472,1.0
1579951165,0.877533,0.909656,25.6472,1.0
1579961915,0.8681,0.89986,25.6443,1.0
1579972616,0.8591,0.89053,25.6443,1.0
1579983412,0.850656,0.881784,25.6486,1.0
1579994177,0.842918,0.873753,25.6415,1.0
1580004902,0.835035,0.865596,25.6429,1.0
1580015657,0.826782,0.857044,25.6443,1.0
1580026349,0.820605,0.850669,25.6644,1.0
1580037114,0.820749,0.850822,25.6672,1.0
1580337786,1.02502,1.06255,25.6486,1.0
1580348507,0.989125,1.02533,25.6415,1.0
1580359259,0.957827,0.992888,25.6429,1.0
1580369952,0.934632,0.968847,25.6443,1.0
1580380745,0.919591,0.953285,25.6715,1.0
1580391516,0.917096,0.95065,25.6415,1.0
1580402296,0.927602,0.961578,25.6644,1.0
1580413217,0.948654,0.983361,25.6401,1.0
1580423927,0.978401,1.01424,25.6658,1.0
1580488382,1.04189,1.08004,25.6458,1.0
1580499081,0.992871,1.02935,25.7178,1.0
1580509775,0.924327,0.958286,25.7178,1.0
1580520553,0.833624,0.864286,25.742,1.0
1580810838,-1.24256,-1.28802,25.6272,1.0
1580821660,-1.25637,-1.30237,25.6472,1.0
1580832387,-1.26617,-1.31258,25.6672,1.0
1580843091,-1.27651,-1.32321,25.6286,1.0
1580853813,-1.29117,-1.3384,25.6229,1.0
1580864506,-1.30428,-1.35202,25.6429,1.0
1580875305,-1.30916,-1.35708,25.6472,1.0
1580886054,-1.30696,-1.3548,25.6429,1.0
1580896756,-1.3,-1.3476,25.6501,1.0
1580939525,-1.23599,-1.28122,25.6415,1.0
1580950299,-1.20823,-1.25251,25.6701,1.0
1580961015,-1.17762,-1.22073,25.6472,1.0
1580971712,-1.15337,-1.19553,25.6215,1.0
1581261568,-0.68628,-0.711402,25.6472,1.0
1581272321,-0.647148,-0.670814,25.6258,1.0
1581283017,-0.593253,-0.614978,25.6558,1.0
1581293842,-0.51533,-0.534295,25.7563,1.0
1581304565,-0.397469,-0.412089,25.7463,1.0
1581315313,-0.189206,-0.196164,25.7392,1.0
1581326057,0.294249,0.305058,25.7163,1.0
1581336750,0.446373,0.462784,25.7406,1.0
1581347542,0.555698,0.576114,25.7249,1.0
1581358301,0.654364,0.678424,25.742,1.0
1581379973,0.846546,0.877674,25.7435,1.0
1581390767,0.933272,0.967594,25.7463,1.0
1581401487,1.01427,1.05158,25.7463,1.0
1581412195,1.09502,1.13534,25.7649,1.0
1581702223,1.1795,1.22268,25.6443,1.0
1581712970,1.14805,1.19007,25.6415,1.0
1581723719,1.11713,1.15798,25.6215,1.0
1581734502,1.0864,1.12614,25.6301,1.0
1581745264,1.05099,1.08945,25.6401,1.0
1581756010,1.00996,1.04697,25.6701,1.0
1581766711,0.972001,1.00761,25.6615,1.0
1581777461,0.940286,0.974688,25.6415,1.0
1581788207,0.910922,0.944256,25.6458,1.0
1581798899,0.882635,0.91493,25.6429,1.0
1581863408,0.664208,0.688513,25.6329,1.0
1581874201,0.657621,0.681724,25.6672,1.0
1581884940,0.659446,0.68358,25.6415,1.0
1581895779,0.663917,0.688188,25.6186,1.0
1582185878,1.47337,1.52728,25.6415,1.0
1582196574,1.49451,1.54915,25.6258,1.0
1582207359,1.50561,1.56073,25.6415,1.0
1582218107,1.51013,1.56538,25.6258,1.0
1582228851,1.50761,1.56287,25.6629,1.0
1582239600,1.49394,1.54864,25.6443,1.0
1582250313,1.46426,1.51781,25.6258,1.0
1582261026,1.41893,1.47084,25.6301,1.0
1582271762,1.36106,1.41089,25.6443,1.0
1582282506,1.28885,1.33622,25.7263,1.0
1582314640,0.929387,0.963555,25.7363,1.0
1582325444,0.76783,0.796064,25.7406,1.0
1582336180,0.601261,0.623367,25.7378,1.0
1582346873,0.423901,0.439504,25.7606,1.0
1582647742,0.643394,0.66696,25.6515,1.0
1582658510,0.606357,0.628561,25.6458,1.0
1582669201,0.551344,0.57151,25.6215,1.0
1582679924,0.465055,0.482144,25.7192,1.0
1582690624,0.338171,0.350609,25.7435,1.0
1582701435,0.110654,0.114729,25.7692,1.0
1582712208,-0.286202,-0.296727,25.7406,1.0
1582722942,-0.410587,-0.425687,25.742,1.0
1582733653,-0.485331,-0.503182,25.7449,1.0
1582744393,-0.521696,-0.540884,25.742,1.0
1582766058,-0.516477,-0.535477,25.7463,1.0
1582776776,-0.478351,-0.495946,25.7435,1.0
1582787559,-0.412071,-0.427228,25.7492,1.0
1582798342,-0.303214,-0.314363,25.742,1.0
1583088211,0.476355,0.49378,25.6301,1.0
1583099009,0.535645,0.555248,25.6401,1.0
1583109701,0.600598,0.622561,25.6243,1.0
1583120467,0.65636,0.680357,25.62,1.0
1583131200,0.696191,0.721649,25.6243,1.0
1583141953,0.725867,0.752467,25.6686,1.0
1583152738,0.756751,0.784476,25.6644,1.0
1583163429,0.785361,0.814105,25.6429,1.0
1583174144,0.801126,0.830418,25.6258,1.0
1583238474,0.662001,0.686236,25.6443,1.0
1583249264,0.630891,0.653994,25.6501,1.0
1583259964,0.606141,0.628351,25.6629,1.0
1583582005,1.39623,1.44733,25.6458,1.0
1583592753,1.36597,1.41592,25.6301,1.0
1583603442,1.32976,1.37846,25.6629,1.0
1583614152,1.29214,1.33942,25.6386,1.0
1583624856,1.25685,1.3029,25.6672,1.0
1583635557,1.22448,1.2693,25.6429,1.0
1583646309,1.19283,1.23646,25.6301,1.0
1583657095,1.15919,1.20161,25.6401,1.0
1583667856,1.12359,1.16468,25.6315,1.0
1583678579,1.08686,1.12664,25.6486,1.0
1583764376,0.839921,0.870663,25.6443,1.0
1583775105,0.809032,0.838615,25.6272,1.0
1583785796,0.776083,0.804482,25.6429,1.0
1583796532,0.741234,0.768342,25.6301,1.0
1584075856,0.904713,0.937861,25.6672,1.0
1584086692,0.96198,0.997221,25.6644,1.0
1584097482,1.02396,1.06145,25.6472,1.0
1584108192,1.08014,1.11968,25.6401,1.0
1584118886,1.1219,1.16296,25.6401,1.0
1584129623,1.15254,1.19473,25.6443,1.0
1584140332,1.17776,1.22088,25.6515,1.0
1584151154,1.19611,1.23988,25.6443,1.0
1584161844,1.20238,1.24659,25.7449,1.0
1584172581,1.19804,1.24209,25.7478,1.0
1584204787,1.17825,1.22153,25.7263,1.0
1584215483,1.17217,1.21527,25.7449,1.0
1584226172,1.17068,1.21369,25.7235,1.0
1584236891,1.17316,1.21629,25.7449,1.0
1584247590,1.17934,1.22267,25.7263,1.0
1584537524,1.68808,1.74988,25.6486,1.0
1584548274,1.69388,1.75581,25.62,1.0
1584558969,1.69318,1.75543,25.7406,1.0
1584569675,1.68738,1.74942,25.7392,1.0
1584580370,1.67594,1.73756,25.7406,1.0
1584591059,1.65526,1.71613,25.7406,1.0
1584601776,1.62584,1.68561,25.7349,1.0
1584612480,1.59238,1.65094,25.742,1.0
1584623269,1.55787,1.61515,25.742,1.0
1584666292,1.42324,1.47529,25.6272,1.0
1584677063,1.38129,1.43185,25.6443,1.0
1584687759,1.33093,1.37965,25.6458,1.0
1584698488,1.27873,1.32554,25.6429,1.0
1585009894,0.841587,0.87257,25.7649,1.0
1585020587,0.884876,0.917387,25.722,1.0
1585031344,0.90266,0.935822,25.7206,1.0
1585042132,0.894773,0.927648,25.722,1.0
1585052903,0.869025,0.900979,25.7392,1.0
1585063604,0.833714,0.864365,25.742,1.0
1585074302,0.786953,0.815889,25.7449,1.0
1585085024,0.726639,0.753332,25.7249,1.0
1585095713,0.662057,0.686396,25.7406,1.0
1585106406,0.608274,0.630655,25.7492,1.0
1585138571,0.549035,0.569226,25.7392,1.0
1585149311,0.562128,0.582802,25.7406,1.0
1585160098,0.585624,0.60716,25.7406,1.0
1585170855,0.610421,0.632874,25.7449,1.0
1585450235,0.829437,0.859775,25.6272,1.0
1585461033,0.834886,0.865484,25.6701,1.0
1585471804,0.835996,0.866626,25.6629,1.0
1585482621,0.840825,0.871641,25.6701,1.0
1585493317,0.853397,0.88467,25.6672,1.0
1585504048,0.872294,0.904249,25.6629,1.0
1585514749,0.894307,0.927051,25.6515,1.0
1585525502,0.914484,0.947933,25.6301,1.0
1585536191,0.930117,0.964172,25.6515,1.0
1585546977,0.945201,0.979792,25.6415,1.0
1585579276,1.00154,1.0382,25.6458,1.0
1585590044,1.01605,1.05323,25.6329,1.0
1585600746,1.01239,1.04944,25.6458,1.0
1585611483,0.986142,1.02223,25.6443,1.0
1585912419,0.549805,0.569958,25.6715,1.0
1585923169,0.683552,0.708601,25.6715,1.0
1585933991,0.792662,0.821667,25.6401,1.0
1585944822,0.878944,0.911085,25.6258,1.0
1585955510,0.943671,0.978171,25.6215,1.0
1585966276,0.990333,1.02654,25.6229,1.0
1585976994,1.02411,1.06159,25.6443,1.0
1585987758,1.05244,1.09095,25.6401,1.0
1585998503,1.08525,1.12498,25.6501,1.0
1586041438,1.28751,1.3346,25.6272,1.0
1586052246,1.3369,1.3858,25.6243,1.0
1586062944,1.38598,1.43673,25.6486,1.0
1586073661,1.43349,1.48593,25.6301,1.0
1586374569,0.85759,0.889132,25.742,1.0
1586385335,0.791467,0.820575,25.7406,1.0
