timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
1925591062,2.33172,2.33172,2.42092,0.28181,0.301405,1,1
1925691029,2.07823,2.07823,2.15782,0.281804,0.301393,1,1
1926091036,2.04023,2.04023,2.11841,0.282111,0.301729,1,1
1926491016,2.03335,2.03335,2.11131,0.281301,0.300867,1,1
1926591024,1.92355,1.92355,1.99718,0.281242,0.300805,1,1
1926791038,2.25395,2.25395,2.34033,0.280943,0.300483,1,1
1926891048,2.51596,2.51596,2.61229,0.281302,0.300866,1,1
1927391604,2.431,2.431,2.52408,0.283986,0.303739,1,1
1927491643,2.21705,2.21705,2.30205,0.284014,0.303765,1,1
1927891219,2.16265,2.16265,2.24547,0.282629,0.302289,1,1
1928291224,2.14849,2.14849,2.23086,0.284273,0.30405,1,1
1928791024,1.82813,1.82813,1.89814,0.286042,0.305944,1,1
1928891021,1.88766,1.88766,1.95995,0.286366,0.306295,1,1
1929291031,2.36526,2.36526,2.45579,0.287827,0.307858,1,1
1929691030,1.71197,1.71197,1.77758,0.288174,0.308226,1,1
1931191018,2.16774,2.16774,2.25067,0.285389,0.305254,1,1
1931291026,2.19329,2.19329,2.27718,0.285131,0.30498,1,1
1931691016,1.8866,1.8866,1.95881,0.28613,0.306057,1,1
1932091016,1.99056,1.99056,2.06686,0.286853,0.306828,1,1
1932191032,1.9942,1.9942,2.07082,0.287279,0.307283,1,1
1932591017,2.11318,2.11318,2.19411,0.286603,0.306563,1,1
1932991019,1.76991,1.76991,1.8377,0.287342,0.307354,1,1
1933491076,2.20454,2.20454,2.28944,0.28716,0.307167,1,1
1933891476,2.268,2.268,2.35522,0.286957,0.306958,1,1
1934391080,2.02501,2.02501,2.10258,0.287967,0.308038,1,1
1934491223,2.00592,2.00592,2.08276,0.287968,0.308041,1,1
1934891018,1.70121,1.70121,1.76638,0.287791,0.307854,1,1
1935291018,2.03011,2.03011,2.10788,0.288967,0.309114,1,1
1935791018,2.06885,2.06885,2.14845,0.288181,0.308279,1,1
1935891017,1.83506,1.83506,1.90568,0.287673,0.307738,1,1
1936191016,1.6866,1.6866,1.75147,0.286551,0.306538,1,1
1936691016,2.11954,2.11954,2.20105,0.28417,0.303987,1,1
1936791016,2.38391,2.38391,2.47561,0.283557,0.303337,1,1
1937191016,2.27367,2.27367,2.36109,0.28136,0.300988,1,1
1937591018,2.34418,2.34418,2.43438,0.280152,0.299704,1,1
1937691018,2.32257,2.32257,2.41181,0.279661,0.299178,1,1
1938091072,2.19035,2.19035,2.27461,0.278794,0.298252,1,1
1938191019,1.94502,1.94502,2.01981,0.27839,0.297822,1,1
1938591017,1.77608,1.77608,1.84435,0.277441,0.296807,1,1
1938991020,2.22678,2.22678,2.31241,0.275145,0.294354,1,1
1939091049,2.27922,2.27922,2.36689,0.274659,0.293834,1,1
1939491018,2.1662,2.1662,2.24959,0.272235,0.291244,1,1
1939591016,2.16968,2.16968,2.25277,0.272017,0.291017,1,1
1939891810,1.92677,1.92677,2.00053,0.270696,0.289599,1,1
1940391170,2.81561,2.81561,2.92391,0.266359,0.284968,1,1
1940491153,3.08568,3.08568,3.2037,0.265469,0.284013,1,1
1940791130,3.64699,3.64699,3.78724,0.263377,0.28178,1,1
1941291022,4.9578,4.9578,5.14782,0.259308,0.277435,1,1
1941791023,5.99754,5.99754,6.22852,0.260522,0.278738,1,1
1941891140,6.18545,6.18545,6.42346,0.261273,0.27954,1,1
1942191017,6.91761,6.91761,7.18393,0.263943,0.282404,1,1
1942691019,7.96582,7.96582,8.27088,0.267532,0.286248,1,1
1942791072,8.15356,8.15356,8.46727,0.269089,0.287912,1,1
1943191017,8.56464,8.56464,8.8941,0.273441,0.292577,1,1
1943591027,8.64519,8.64519,8.97608,0.279666,0.299239,1,1
1944091049,8.84791,8.84791,9.18864,0.285087,0.305046,1,1
1944191019,8.94898,8.94898,9.29348,0.286668,0.306736,1,1
1944491031,8.92183,8.92183,9.26541,0.286641,0.306712,1,1
1944991018,9.00201,9.00201,9.34883,0.295177,0.315851,1,1
1945491016,8.99109,8.99109,9.33761,0.299704,0.320704,1,1
1945591016,8.92032,8.92032,9.26385,0.301339,0.322454,1,1
1945991092,8.73739,8.73739,9.0739,0.304271,0.325598,1,1
1946391463,8.98486,8.98486,9.33072,0.310272,0.332021,1,1
1946891075,8.95854,8.95854,9.30366,0.314096,0.336116,1,1
1946991057,8.93825,8.93825,9.28299,0.314937,0.337016,1,1
1947291019,8.87875,8.87875,9.22094,0.315351,0.337463,1,1
1947791019,8.97811,8.97811,9.3239,0.320247,0.342708,1,1
1947891019,9.02029,9.02029,9.36795,0.319674,0.342095,1,1
1948191057,9.21224,9.21224,9.56555,0.324231,0.346977,1,1
1948291016,9.18564,9.18564,9.53815,0.325574,0.34842,1,1
1948691019,8.95031,8.95031,9.2953,0.325541,0.348384,1,1
1948791018,8.96299,8.96299,9.30855,0.326995,0.349947,1,1
1949191016,9.08362,9.08362,9.43377,0.331131,0.354374,1,1
1949291018,9.12061,9.12061,9.47215,0.332466,0.3558,1,1
1949591023,9.12936,9.12936,9.48122,0.334815,0.358319,1,1
1950091017,9.10074,9.10074,9.45136,0.335567,0.359127,1,1
1950191018,9.02063,9.02063,9.36842,0.336467,0.360089,1,1
1950491017,9.03619,9.03619,9.3847,0.336501,0.36014,1,1
1950991038,9.13233,9.13233,9.48307,0.33738,0.361083,1,1
1951491018,9.01405,9.01405,9.36164,0.33811,0.36186,1,1
1951591016,9.02976,9.02976,9.37766,0.334865,0.35838,1,1
1951891018,9.01974,9.01974,9.36736,0.3312,0.354459,1,1
1952391048,9.19829,9.19829,9.55127,0.322226,0.344859,1,1
1952491646,9.20615,9.20615,9.56102,0.320468,0.342978,1,1
1952891391,8.99772,8.99772,9.34454,0.314539,0.336636,1,1
1953391053,9.07858,9.07858,9.42836,0.304263,0.325647,1,1
1953491019,8.98237,8.98237,9.32868,0.303339,0.324655,1,1
1953891018,9.18219,9.18219,9.53565,0.294986,0.315718,1,1
1954291019,9.0454,9.0454,9.39402,0.29336,0.313977,1,1
1954391021,9.01041,9.01041,9.35639,0.289919,0.310292,1,1
1954791019,9.12523,9.12523,9.47708,0.281994,0.301824,1,1
1954891018,9.19231,9.19231,9.54663,0.279791,0.299467,1,1
1955291017,9.23829,9.23829,9.59433,0.276142,0.295561,1,1
1955691017,9.09929,9.09929,9.45019,0.272917,0.292109,1,1
1955791122,9.06717,9.06717,9.41524,0.273155,0.292365,1,1
1956091016,9.3239,9.3239,9.6832,0.271068,0.290136,1,1
1956591016,9.1314,9.1314,9.48176,0.268797,0.287711,1,1
1956691028,9.09333,9.09333,9.44445,0.268394,0.287276,1,1
1957091012,9.10854,9.10854,9.45973,0.264733,0.283355,1,1
1957491022,9.22564,9.22564,9.57953,0.262325,0.280781,1,1
1957991023,9.29767,9.29767,9.65456,0.258866,0.277078,1,1
1958091016,9.34542,9.34542,9.70613,0.256606,0.27466,1,1
1958391031,9.17171,9.17171,9.52555,0.252101,0.269842,1,1
1958891555,9.17251,9.17251,9.5262,0.247415,0.264825,1,1
1958991315,9.11117,9.11117,9.46249,0.246635,0.263991,1,1
1959391223,9.22532,9.22532,9.58087,0.239228,0.256065,1,1
1959791063,9.08762,9.08762,9.438,0.231333,0.247615,1,1
1959891018,9.09564,9.09564,9.44623,0.230218,0.246425,1,1
1960291021,9.12071,9.12071,9.47067,0.226247,0.242167,1,1
1960391020,9.11835,9.11835,9.47029,0.225106,0.24095,1,1
1960791018,9.17194,9.17194,9.52385,0.217835,0.233168,1,1
1961291016,9.17934,9.17934,9.53329,0.209526,0.224277,1,1
1961391052,9.21958,9.21958,9.57491,0.209822,0.224591,1,1
1961791019,9.21555,9.21555,9.57085,0.201611,0.215803,1,1
