timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
1107682112,-2.48955,-2.57843,25.1773,1.0
1107692858,-2.45318,-2.54064,25.1515,1.0
1107703591,-2.41735,-2.50346,25.133,1.0
1107735905,-2.31596,-2.39849,25.1401,1.0
1107746668,-2.28938,-2.37092,25.1301,1.0
1107757366,-2.27132,-2.35233,25.1601,1.0
1107768105,-2.2619,-2.34248,25.133,1.0
1108111875,-2.96798,-3.07383,25.1515,1.0
1108122587,-2.97428,-3.08027,25.133,1.0
1108133305,-2.98089,-3.08725,25.1587,1.0
1108144072,-2.98759,-3.09427,25.1744,1.0
1108154827,-2.99328,-3.10007,25.1558,1.0
1108165536,-2.99751,-3.10443,25.1544,1.0
1108176330,-2.99977,-3.10677,25.1558,1.0
1108187028,-3.00135,-3.10841,25.1573,1.0
1108197765,-3.00357,-3.11066,25.1487,1.0
1108262274,-3.02113,-3.12906,25.1816,1.0
1108273000,-3.02173,-3.1295,25.1515,1.0
1108283772,-3.02246,-3.13027,25.153,1.0
1108294534,-3.02274,-3.13058,25.1587,1.0
1108584208,-2.51641,-2.60619,25.1573,1.0
1108594963,-2.49351,-2.58249,25.1615,1.0
1108605651,-2.46865,-2.55679,25.1715,1.0
1108616340,-2.44302,-2.5302,25.163,1.0
1108627039,-2.4181,-2.50426,25.1301,1.0
1108637743,-2.3969,-2.48243,25.1601,1.0
1108648512,-2.38045,-2.46533,25.1401,1.0
1108659210,-2.36678,-2.45123,25.1558,1.0
1108669973,-2.35241,-2.43634,25.1544,1.0
1108680664,-2.33535,-2.4187,25.1601,1.0
1108723762,-2.26759,-2.34848,25.1501,1.0
1108734460,-2.25066,-2.33098,25.1558,1.0
1108745210,-2.23568,-2.31539,25.1372,1.0
1108755950,-2.22276,-2.30208,25.163,1.0
1109045486,-2.59989,-2.69263,25.1558,1.0
1109056212,-2.59978,-2.69241,25.133,1.0
1109066985,-2.59741,-2.69008,25.1601,1.0
1109077705,-2.59084,-2.68326,25.1558,1.0
1109088425,-2.58197,-2.67397,25.133,1.0
1109099119,-2.57263,-2.66431,25.133,1.0
1109109887,-2.56165,-2.65302,25.153,1.0
1109120576,-2.54787,-2.63876,25.1558,1.0
1109131324,-2.53288,-2.62312,25.133,1.0
1109174153,-2.53297,-2.62323,25.1372,1.0
1109184914,-2.5465,-2.63741,25.1744,1.0
1109195650,-2.56139,-2.65279,25.1587,1.0
1109206374,-2.57803,-2.6699,25.133,1.0
1109485750,-2.35723,-2.44137,25.1587,1.0
1109496448,-2.34801,-2.43189,25.1773,1.0
1109507159,-2.34163,-2.42519,25.153,1.0
1109517898,-2.33673,-2.41999,25.1301,1.0
1109528597,-2.33482,-2.4181,25.153,1.0
1109539312,-2.33873,-2.42204,25.1258,1.0
1109550050,-2.34955,-2.43335,25.1501,1.0
1109560822,-2.36414,-2.44847,25.153,1.0
1109571614,-2.38027,-2.46507,25.1301,1.0
1109582485,-2.40112,-2.48678,25.1558,1.0
1109636086,-2.53575,-2.62619,25.153,1.0
1109646812,-2.55059,-2.64168,25.1801,1.0
1109657599,-2.55962,-2.65105,25.1816,1.0
1109668311,-2.5634,-2.65483,25.153,1.0
1109679086,-2.56461,-2.65601,25.1401,1.0
1109979410,-2.54393,-2.63469,25.153,1.0
1109990145,-2.54494,-2.63584,25.1773,1.0
1110000846,-2.54885,-2.63968,25.1315,1.0
1110011583,-2.55949,-2.65079,25.153,1.0
1110022280,-2.57199,-2.66375,25.1558,1.0
1110033059,-2.57984,-2.67188,25.1558,1.0
1110043802,-2.58417,-2.67625,25.1315,1.0
1110054499,-2.58738,-2.67969,25.1573,1.0
1110065220,-2.58873,-2.68109,25.1573,1.0
1110097561,-2.57734,-2.66925,25.1472,1.0
1110108307,-2.56542,-2.65695,25.1558,1.0
1110119016,-2.55014,-2.64113,25.1558,1.0
1110129777,-2.5379,-2.62833,25.1301,1.0
1110430129,-2.80824,-2.90846,25.1573,1.0
