timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
1925660156,15.3462,15.3744,92.5587,92.6038,0.0,49557.0,0.451708,1.09272,nan,4,3.84361,3.84361,3.84361,3.84361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1925670144,15.4611,15.3753,92.588,92.6035,0.0,49557.3,0.452038,1.09266,nan,4,3.84382,3.84382,3.84382,3.84382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1925680099,15.5377,15.3769,92.6466,92.6043,0.0,49557.5,0.452656,1.09255,nan,4,3.84423,3.84423,3.84423,3.84423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1925690096,15.3207,15.3763,92.5587,92.6034,0.0,49557.8,0.452442,1.09259,nan,4,3.84409,3.84409,3.84409,3.84409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1925700099,15.525,15.3778,92.6466,92.6043,0.0,49558.0,0.453008,1.09248,nan,4,3.84446,3.84446,3.84446,3.84446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1926000206,15.3845,15.3652,92.588,92.6049,0.0,49565.8,0.448136,1.09338,nan,4,3.84129,3.84129,3.84129,3.84129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1926010173,15.576,15.3672,92.588,92.6046,0.0,49566.0,0.448939,1.09323,nan,4,3.84181,3.84181,3.84181,3.84181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1926020101,15.5505,15.3691,92.588,92.6042,0.0,49566.3,0.449637,1.09311,nan,4,3.84226,3.84226,3.84226,3.84226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1926030098,15.3207,15.3686,92.5587,92.6033,0.0,49566.5,0.449453,1.09314,nan,4,3.84214,3.84214,3.84214,3.84214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1926040101,15.2185,15.3671,92.588,92.603,0.0,49566.8,0.448882,1.09325,nan,4,3.84177,3.84177,3.84177,3.84177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
