timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
25956073,16.1378,16.2619,92.588,92.5591,0.0,595.693,0.793102,1.03308,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
25968069,16.4442,16.2637,92.5587,92.5591,0.0,596.002,0.793802,1.03296,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
25980063,16.1378,16.2624,92.588,92.5597,0.0,596.31,0.793317,1.03304,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
25992059,16.0612,16.2604,92.588,92.5603,0.0,596.619,0.792543,1.03317,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
26004062,16.2272,16.2601,92.588,92.5608,0.0,596.927,0.792415,1.03319,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
26016061,16.291,16.2604,92.5587,92.5608,0.0,597.236,0.792532,1.03317,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
26028072,16.2272,16.2601,92.5294,92.5602,0.0,597.544,0.792404,1.03319,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
26040060,16.1889,16.2594,92.588,92.5607,0.0,597.853,0.79213,1.03324,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
26052058,16.2016,16.2588,92.588,92.5613,0.0,598.161,0.791907,1.03328,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
26064062,16.3676,16.2599,92.5294,92.5606,0.0,598.47,0.792325,1.03321,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
26076078,16.1889,16.2592,92.588,92.5612,0.0,598.779,0.792052,1.03325,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
26088070,16.3676,16.2603,92.5587,92.5611,0.0,599.087,0.792469,1.03318,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
26100066,15.9846,16.2575,92.5294,92.5605,0.0,599.396,0.791408,1.03336,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
26112070,16.4059,16.259,92.5587,92.5605,0.0,599.704,0.791978,1.03326,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
26124866,16.125,16.2576,92.588,92.561,0.0,600.033,0.791463,1.03335,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
26136881,16.2016,16.2571,92.5587,92.561,0.0,600.342,0.791246,1.03339,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
