Format Version,1.23,Take Name,MS010MPT007,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-03-25 01.04.05.415 PM,Total Frames in Take,7999,Total Exported Frames,7999,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Concorde_S,Concorde_S,Concorde_S,Concorde_S,Concorde_S,Concorde_S
,ID,"FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.057931,0.010519,-0.072257,-0.019491,0.095111,0.001379
1,0.008333,0.060936,0.012061,-0.072192,-0.019496,0.095111,0.001371
2,0.016667,0.061863,0.015536,-0.064211,-0.019494,0.095101,0.001375
3,0.025000,,,,,,
4,0.033333,0.059045,0.015225,-0.073883,-0.019484,0.095104,0.001376
5,0.041667,0.058455,0.016168,-0.065382,-0.019494,0.095108,0.001367
6,0.050000,0.063497,0.011372,-0.071598,-0.019488,0.095105,0.001372
7,0.058333,,,,,,
8,0.066667,0.059643,0.011090,-0.069356,-0.019493,0.095109,0.001379
9,0.075000,0.065379,0.006911,-0.074197,-0.019490,0.095124,0.001372
10,0.083333,0.056798,0.012999,-0.064579,-0.019492,0.095132,0.001369
11,0.091667,0.066446,0.014670,-0.074237,-0.019486,0.095121,0.001359
12,0.100000,0.062584,0.016056,-0.066001,-0.019491,0.095112,0.001369
13,0.108333,0.057466,0.010900,-0.070483,-0.019496,0.095117,0.001364
14,0.116667,0.063558,0.014696,-0.065351,-0.019479,0.095103,0.001376
15,0.125000,0.071323,0.014430,-0.066996,-0.019470,0.095102,0.001361
16,0.133333,0.057494,0.018700,-0.064580,-0.019480,0.095118,0.001366
17,0.141667,0.052739,0.015406,-0.063209,-0.019480,0.095109,0.001368
18,0.150000,0.059776,0.011281,-0.070611,-0.019479,0.095102,0.001369
19,0.158333,0.059433,0.013763,-0.066693,-0.019477,0.095118,0.001375
20,0.166667,0.057155,0.013089,-0.061884,-0.019482,0.095121,0.001373
21,0.175000,0.064263,0.016860,-0.064577,-0.019488,0.095119,0.001364
22,0.183333,0.063246,0.009373,-0.073811,-0.019477,0.095108,0.001380
23,0.191667,0.062357,0.018143,-0.068611,-0.019496,0.095101,0.001369
24,0.200000,0.063976,0.014940,-0.064380,-0.019505,0.095121,0.001373
25,0.208333,0.069761,0.014816,-0.063762,-0.019489,0.095112,0.001373
26,0.216667,0.062050,0.014714,-0.065279,-0.019490,0.095114,0.001379
27,0.225000,0.062438,0.013821,-0.071361,-0.019504,0.095121,0.001374
28,0.233333,0.054762,0.012207,-0.065503,-0.019496,0.095100,0.001380
29,0.241667,0.057763,0.014159,-0.069607,-0.019474,0.095102,0.001379
30,0.250000,0.055961,0.010935,-0.070344,-0.019481,0.095103,0.001369
31,0.258333,0.058524,0.009392,-0.067408,-0.019467,0.095123,0.001371
32,0.266667,0.059106,0.015779,-0.069331,-0.019484,0.095104,0.001371
33,0.275000,0.061035,0.014153,-0.064527,-0.019482,0.095110,0.001382
34,0.283333,0.063202,0.011933,-0.072996,-0.019476,0.095118,0.001363
35,0.291667,0.065866,0.015177,-0.069934,-0.019488,0.095114,0.001370
36,0.300000,0.056241,0.012680,-0.069243,-0.019487,0.095120,0.001370
37,0.308333,0.060674,0.014145,-0.065027,-0.019505,0.095124,0.001363
38,0.316667,0.066912,0.013780,-0.065130,-0.019485,0.095109,0.001383
39,0.325000,0.066077,0.015694,-0.068937,-0.019489,0.095111,0.001368
40,0.333333,0.055760,0.005011,-0.070063,-0.019477,0.095119,0.001369
41,0.341667,0.057723,0.015690,-0.066915,-0.019487,0.095115,0.001368
42,0.350000,0.057930,0.010520,-0.062076,-0.019489,0.095118,0.001351
43,0.358333,0.063103,0.014232,-0.065730,-0.019479,0.095101,0.001367
44,0.366667,0.058961,0.015585,-0.065627,-0.019479,0.095101,0.001371
45,0.375000,0.056260,0.011901,-0.065010,-0.019488,0.095115,0.001360
