Format Version,1.23,Take Name,MS010MPT008,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-03-25 01.16.21.175 PM,Total Frames in Take,23547,Total Exported Frames,23547,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Concorde_S,Concorde_S,Concorde_S,Concorde_S,Concorde_S,Concorde_S
,ID,"FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.092699,0.028191,-0.059913,-0.019608,0.095077,0.001465
1,0.008333,0.082903,0.030730,-0.054107,-0.019622,0.095081,0.001468
2,0.016667,0.031888,-0.019059,-0.038767,-0.019559,0.095050,0.001462
3,0.025000,0.037648,-0.008556,-0.036354,-0.019551,0.095039,0.001473
4,0.033333,0.027587,-0.011109,-0.042401,-0.019514,0.095019,0.001460
5,0.041667,0.035946,-0.013824,-0.045851,-0.019526,0.095014,0.001466
6,0.050000,0.091122,0.030139,-0.059490,-0.019632,0.095069,0.001462
7,0.058333,0.101951,0.029789,-0.064489,-0.019629,0.095070,0.001463
8,0.066667,0.090574,0.028841,-0.060477,-0.019615,0.095065,0.001440
9,0.075000,,,,,,
10,0.083333,0.088467,0.036794,-0.051748,-0.019630,0.095073,0.001467
11,0.091667,0.103500,0.036301,-0.055347,-0.019650,0.095074,0.001446
12,0.100000,0.100448,0.036042,-0.076403,-0.019604,0.095091,0.001452
13,0.108333,0.090518,0.029588,-0.053321,-0.019639,0.095072,0.001452
14,0.116667,0.094576,0.029402,-0.050271,-0.019653,0.095066,0.001464
15,0.125000,0.096200,0.025944,-0.052674,-0.019635,0.095054,0.001453
16,0.133333,0.095134,0.032700,-0.051432,-0.019653,0.095072,0.001462
17,0.141667,0.097165,0.033346,-0.054429,-0.019630,0.095066,0.001448
18,0.150000,0.025612,-0.009490,-0.045712,-0.019553,0.095004,0.001452
19,0.158333,0.093522,0.033723,-0.060479,-0.019624,0.095054,0.001458
20,0.166667,0.032648,-0.011122,-0.035273,-0.019533,0.095011,0.001483
21,0.175000,0.025124,-0.013455,-0.038562,-0.019545,0.095020,0.001484
22,0.183333,0.025243,-0.011724,-0.039420,-0.019550,0.095029,0.001483
23,0.191667,0.034536,-0.014365,-0.061724,-0.019536,0.095052,0.001480
24,0.200000,0.032873,-0.010876,-0.034980,-0.019559,0.095042,0.001475
25,0.208333,0.085438,0.026025,-0.049767,-0.019653,0.095075,0.001455
26,0.216667,0.085856,0.031780,-0.058333,-0.019643,0.095081,0.001457
27,0.225000,0.036151,-0.008848,-0.048744,-0.019544,0.095031,0.001464
28,0.233333,0.030831,-0.009006,-0.042469,-0.019517,0.095011,0.001468
29,0.241667,0.028778,-0.011942,-0.038538,-0.019528,0.095023,0.001472
30,0.250000,0.031329,-0.011732,-0.063208,-0.019531,0.095042,0.001476
31,0.258333,0.090596,0.020849,-0.061289,-0.019623,0.095076,0.001483
32,0.266667,0.030025,-0.009634,-0.031034,-0.019506,0.095039,0.001482
33,0.275000,0.030199,-0.012183,-0.040330,-0.019522,0.095028,0.001482
34,0.283333,0.035798,-0.018749,-0.043622,-0.019530,0.095032,0.001481
35,0.291667,0.033505,-0.007277,-0.039208,-0.019525,0.095048,0.001476
36,0.300000,0.040862,-0.009007,-0.035461,-0.019521,0.095068,0.001479
37,0.308333,0.029115,-0.017199,-0.043819,-0.019513,0.095040,0.001471
38,0.316667,0.029789,-0.007437,-0.037601,-0.019541,0.095046,0.001456
39,0.325000,0.027942,-0.013646,-0.034647,-0.019524,0.095039,0.001467
40,0.333333,0.028592,-0.009477,-0.045235,-0.019525,0.095023,0.001455
41,0.341667,0.029992,-0.011857,-0.044826,-0.019534,0.095042,0.001467
42,0.350000,0.028282,-0.011014,-0.035733,-0.019534,0.095033,0.001466
43,0.358333,0.030551,-0.008942,-0.036029,-0.019539,0.095023,0.001455
