Format Version,1.23,Take Name,MS010MPT005,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-03-25 01.00.26.982 PM,Total Frames in Take,9772,Total Exported Frames,9772,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Concorde_S,Concorde_S,Concorde_S,Concorde_S,Concorde_S,Concorde_S
,ID,"FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
71,0.591667,0.041265,0.014657,-0.031576,-0.019519,0.095045,0.001318
72,0.600000,0.047014,0.013589,-0.031036,-0.019520,0.095041,0.001325
73,0.608333,0.039931,0.016247,-0.030655,-0.019515,0.095048,0.001329
74,0.616667,0.037840,0.014350,-0.027817,-0.019508,0.095040,0.001322
75,0.625000,0.034693,0.011217,-0.033869,-0.019512,0.095037,0.001334
76,0.633333,0.045951,0.007636,-0.035408,-0.019513,0.095038,0.001336
77,0.641667,0.044413,0.008199,-0.036513,-0.019512,0.095036,0.001328
78,0.650000,0.043502,0.011782,-0.029472,-0.019521,0.095030,0.001337
79,0.658333,0.041796,0.004468,-0.034500,-0.019518,0.095029,0.001332
80,0.666667,0.046847,0.015227,-0.033495,-0.019528,0.095042,0.001329
81,0.675000,0.047038,0.013623,-0.033851,-0.019526,0.095039,0.001332
82,0.683333,0.037361,0.008786,-0.033463,-0.019521,0.095044,0.001326
83,0.691667,0.045301,0.010278,-0.035878,-0.019520,0.095036,0.001326
84,0.700000,0.041067,0.009756,-0.028186,-0.019518,0.095038,0.001337
85,0.708333,0.043570,0.008769,-0.036427,-0.019522,0.095039,0.001329
86,0.716667,0.046317,0.007096,-0.034718,-0.019516,0.095035,0.001322
87,0.725000,0.048767,0.010085,-0.033125,-0.019518,0.095038,0.001330
88,0.733333,0.039884,0.013975,-0.027968,-0.019520,0.095036,0.001329
