timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
14611079,16.4825,16.5092,92.4122,92.4386,0.0,303.784,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14623070,16.508,16.5092,92.4708,92.4393,0.0,304.092,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14635065,16.6996,16.5111,92.4415,92.4393,0.0,304.4,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14647074,16.4697,16.5107,92.4122,92.4388,0.0,304.708,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14659055,16.4442,16.51,92.4708,92.4394,0.0,305.016,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14671062,16.674,16.5117,92.4415,92.4395,0.0,305.324,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14683063,16.6102,16.5127,92.4122,92.4389,0.0,305.632,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14695072,16.4953,16.5125,92.4415,92.439,0.0,305.941,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14707864,16.5208,16.5126,92.4708,92.4396,0.0,306.269,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14719869,16.4953,16.5124,92.4415,92.4397,0.0,306.578,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14731871,16.4953,16.5122,92.4708,92.4403,0.0,306.886,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14743869,16.674,16.5138,92.4122,92.4397,0.0,307.194,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14755857,16.6996,16.5157,92.5001,92.4409,0.0,307.502,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14767854,16.6996,16.5175,92.4122,92.4404,0.0,307.81,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14779871,16.4187,16.5166,92.5001,92.4416,0.0,308.119,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14791864,16.6102,16.5175,92.4415,92.4416,0.0,308.427,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14803870,16.2782,16.5151,92.4122,92.441,0.0,308.735,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14815870,16.3548,16.5135,92.4415,92.441,0.0,309.043,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14827870,16.4697,16.5131,92.4122,92.4404,0.0,309.351,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14899856,16.4442,16.5124,92.4415,92.4373,0.0,311.199,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14912670,16.4697,16.512,92.4415,92.4374,0.0,311.528,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14924665,16.674,16.5136,92.4415,92.4375,0.0,311.836,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
